,boxscore
4964,2019-01-10-19-mount-st-marys
1629,2019-01-10-19-north-carolina-greensboro
1531,2019-01-10-19-north-carolina-wilmington
5030,2019-01-10-19-oakland
4547,2019-01-10-19-quinnipiac
1478,2019-01-10-19-south-carolina-upstate
1123,2019-01-10-19-tulsa
1576,2019-01-10-19-virginia-military-institute
4968,2019-01-10-19-wagner
3196,2019-01-10-19-william-mary
3120,2019-01-10-20-arkansas-state
4403,2019-01-10-20-illinois
4663,2019-01-10-20-illinois-chicago
5537,2019-01-10-20-jacksonville-state
890,2019-01-10-20-north-dakota
3060,2019-01-10-20-north-dakota-state
957,2019-01-10-20-south-dakota-state
4214,2019-01-10-20-southeast-missouri-state
3321,2019-01-10-20-southern-mississippi
442,2019-01-10-20-tennessee-martin
3085,2019-01-10-20-tennessee-state
3008,2019-01-10-20-tennessee-tech
949,2019-01-10-20-texas-pan-american
2366,2019-01-10-20-texas-san-antonio
4820,2019-01-10-21-brigham-young
5558,2019-01-10-21-colorado
3707,2019-01-10-21-eastern-washington
2453,2019-01-10-21-memphis
4449,2019-01-10-21-nebraska
821,2019-01-10-21-new-mexico-state
3371,2019-01-10-21-oregon
4132,2019-01-10-21-st-francis-ny
5057,2019-01-10-21-texas-el-paso
4786,2019-01-10-22-california-irvine
5241,2019-01-10-22-idaho
1169,2019-01-10-22-utah
337,2019-01-10-23-gonzaga
136,2019-01-10-23-oregon-state
3698,2019-01-10-23-santa-clara
4187,2019-01-11-19-canisius
4321,2019-01-11-19-marist
2336,2019-01-11-19-maryland
2548,2019-01-11-19-niagara
4936,2019-01-11-19-northern-kentucky
3431,2019-01-11-21-wisconsin
2792,2019-01-12-12-ball-state
4524,2019-01-12-12-bucknell
5005,2019-01-12-12-buffalo
782,2019-01-12-12-clemson
5225,2019-01-12-12-eastern-michigan
2344,2019-01-12-12-georgetown
29,2019-01-12-12-iowa-state
4498,2019-01-12-12-minnesota
3346,2019-01-12-12-north-carolina
808,2019-01-12-12-north-carolina-state
2847,2019-01-12-12-notre-dame
251,2019-01-12-12-west-virginia
1571,2019-01-12-13-citadel
3807,2019-01-12-13-detroit-mercy
1734,2019-01-12-13-georgia-state
4112,2019-01-12-13-iupui
1902,2019-01-12-13-mississippi-state
1582,2019-01-12-13-virginia-military-institute
2310,2019-01-12-14-appalachian-state
2151,2019-01-12-14-coastal-carolina
3408,2019-01-12-14-davidson
3102,2019-01-12-14-evansville
3437,2019-01-12-14-florida-state
4473,2019-01-12-14-iowa
3221,2019-01-12-14-liberty
4558,2019-01-12-14-loyola-il
3675,2019-01-12-14-loyola-md
2135,2019-01-12-14-marquette
741,2019-01-12-14-miami-fl
4295,2019-01-12-14-monmouth
3623,2019-01-12-14-navy
5415,2019-01-12-14-north-carolina-wilmington
3961,2019-01-12-14-oklahoma
4084,2019-01-12-14-pennsylvania
4638,2019-01-12-14-sacred-heart
3842,2019-01-12-14-temple
261,2019-01-12-14-texas
3885,2019-01-12-14-western-michigan
2121,2019-01-12-14-winthrop
1807,2019-01-12-15-alabama
4070,2019-01-12-15-albany-ny
1002,2019-01-12-15-chicago-state
3455,2019-01-12-15-holy-cross
2930,2019-01-12-15-longwood
3058,2019-01-12-15-north-dakota
5086,2019-01-12-15-oakland
474,2019-01-12-15-san-jose-state
529,2019-01-12-16-air-force
3133,2019-01-12-16-arkansas-little-rock
1667,2019-01-12-16-auburn
65,2019-01-12-16-baylor
4888,2019-01-12-16-central-arkansas
190,2019-01-12-16-central-michigan
1649,2019-01-12-16-chattanooga
670,2019-01-12-16-colgate
2075,2019-01-12-16-college-of-charleston
564,2019-01-12-16-colorado-state
2091,2019-01-12-16-coppin-state
3476,2019-01-12-16-delaware-state
2610,2019-01-12-16-duquesne
2914,2019-01-12-16-florida-am
722,2019-01-12-16-florida-atlantic
2496,2019-01-12-16-george-washington
1419,2019-01-12-16-hampton
4513,2019-01-12-16-howard
2245,2019-01-12-16-illinois-chicago
3395,2019-01-12-16-james-madison
3250,2019-01-12-16-long-island-university
2747,2019-01-12-16-maryland-eastern-shore
1541,2019-01-12-16-mercer
3342,2019-01-12-16-morgan-state
4949,2019-01-12-16-mount-st-marys
637,2019-01-12-16-nicholls-state
5327,2019-01-12-16-north-alabama
5286,2019-01-12-16-northern-colorado
1158,2019-01-12-16-northern-illinois
2944,2019-01-12-16-radford
5476,2019-01-12-16-san-diego
3206,2019-01-12-16-southern-illinois
915,2019-01-12-16-southern-utah
2684,2019-01-12-16-st-bonaventure
2833,2019-01-12-16-st-francis-ny
439,2019-01-12-16-tennessee-martin
5582,2019-01-12-16-texas-san-antonio
5484,2019-01-12-16-wagner
3194,2019-01-12-16-william-mary
2967,2019-01-12-17-arkansas-state
1475,2019-01-12-17-gardner-webb
1967,2019-01-12-17-georgia-southern
3004,2019-01-12-17-jacksonville-state
5152,2019-01-12-17-lipscomb
3309,2019-01-12-17-louisiana-tech
3584,2019-01-12-17-massachusetts-lowell
2300,2019-01-12-17-mississippi-valley-state
4897,2019-01-12-17-new-orleans
1652,2019-01-12-17-north-carolina-greensboro
1223,2019-01-12-17-north-florida
92,2019-01-12-17-south-dakota-state
4218,2019-01-12-17-southeast-missouri-state
5350,2019-01-12-17-southern-mississippi
693,2019-01-12-17-stephen-f-austin
1812,2019-01-12-18-arkansas
3074,2019-01-12-18-belmont
275,2019-01-12-18-florida
3745,2019-01-12-18-grambling
5306,2019-01-12-18-jackson-state
653,2019-01-12-18-la-salle
162,2019-01-12-18-new-mexico-state
5369,2019-01-12-18-prairie-view
1706,2019-01-12-18-sam-houston-state
1125,2019-01-12-18-southern-methodist
4693,2019-01-12-18-st-johns-ny
1048,2019-01-12-18-stanford
2858,2019-01-12-18-syracuse
541,2019-01-12-18-wyoming
3970,2019-01-12-19-dartmouth
1460,2019-01-12-19-elon
4682,2019-01-12-19-florida-international
4790,2019-01-12-19-long-beach-state
5166,2019-01-12-19-marshall
3556,2019-01-12-19-stony-brook
829,2019-01-12-19-vermont
1314,2019-01-12-20-arkansas-pine-bluff
3041,2019-01-12-20-bradley
2457,2019-01-12-20-cincinnati
3,2019-01-12-20-fresno-state
2668,2019-01-12-20-houston
1926,2019-01-12-20-kentucky
5451,2019-01-12-20-tennessee-state
3009,2019-01-12-20-tennessee-tech
943,2019-01-12-20-texas-pan-american
5545,2019-01-12-20-utah
4836,2019-01-12-21-brigham-young
4750,2019-01-12-21-cal-state-fullerton
2376,2019-01-12-21-texas-el-paso
921,2019-01-12-21-utah-valley
363,2019-01-12-22-cal-poly
410,2019-01-12-22-california
1363,2019-01-12-22-california-santa-barbara
5119,2019-01-12-22-colorado
5500,2019-01-12-22-loyola-marymount
4811,2019-01-12-22-portland
4767,2019-01-12-22-portland-state
5274,2019-01-12-22-sacramento-state
4838,2019-01-12-22-san-francisco
292,2019-01-13-12-creighton
4246,2019-01-13-12-xavier
4325,2019-01-13-13-saint-peters
1859,2019-01-13-13-south-carolina
4175,2019-01-13-14-canisius
4357,2019-01-13-14-niagara
4394,2019-01-13-14-quinnipiac
2172,2019-01-13-14-south-dakota
1096,2019-01-13-15-dayton
2440,2019-01-13-16-central-florida
5524,2019-01-13-16-northern-iowa
4442,2019-01-13-16-penn-state
2554,2019-01-13-17-rhode-island
2423,2019-01-13-18-tulane
303,2019-01-13-19-michigan
126,2019-01-13-20-oregon
3863,2019-01-13-22-oregon-state
2339,2019-01-14-18-indiana
3655,2019-01-14-19-bucknell
2100,2019-01-14-19-coppin-state
3478,2019-01-14-19-delaware-state
2899,2019-01-14-19-duke
2745,2019-01-14-19-maryland-eastern-shore
3441,2019-01-14-19-pittsburgh
4166,2019-01-14-19-siena
2290,2019-01-14-20-arkansas-pine-bluff
5299,2019-01-14-20-grambling
3752,2019-01-14-20-jackson-state
3430,2019-01-14-20-maryland
1231,2019-01-14-20-mississippi-valley-state
701,2019-01-14-20-norfolk-state
266,2019-01-14-21-kansas
1203,2019-01-14-21-montana-state
70,2019-01-14-21-oklahoma-state
2142,2019-01-15-18-providence
186,2019-01-15-19-akron
2787,2019-01-15-19-bowling-green-state
3834,2019-01-15-19-cincinnati
2688,2019-01-15-19-fordham
1669,2019-01-15-19-georgia
4514,2019-01-15-19-howard
3210,2019-01-15-19-illinois-state
283,2019-01-15-19-mississippi-state
4735,2019-01-15-19-ohio
4494,2019-01-15-19-purdue
1815,2019-01-15-19-tennessee
233,2019-01-15-19-texas-christian
5013,2019-01-15-19-toledo
3874,2019-01-15-19-western-michigan
4575,2019-01-15-20-georgetown
3259,2019-01-15-20-loyola-il
5102,2019-01-15-20-northern-illinois
3415,2019-01-15-20-virginia
2784,2019-01-15-20-wake-forest
506,2019-01-15-21-boise-state
1828,2019-01-15-21-mississippi
773,2019-01-15-21-north-carolina
4264,2019-01-15-21-saint-josephs
577,2019-01-15-23-san-diego-state
2642,2019-01-16-18-rhode-island
287,2019-01-16-18-st-johns-ny
4871,2019-01-16-19-army
2444,2019-01-16-19-east-carolina
1485,2019-01-16-19-high-point
3233,2019-01-16-19-jacksonville
2188,2019-01-16-19-kennesaw-state
3451,2019-01-16-19-lafayette
4525,2019-01-16-19-lehigh
2844,2019-01-16-19-louisville
3600,2019-01-16-19-loyola-md
3986,2019-01-16-19-maine
4036,2019-01-16-19-maryland-baltimore-county
1088,2019-01-16-19-massachusetts
4057,2019-01-16-19-massachusetts-lowell
3943,2019-01-16-19-mcneese-state
3554,2019-01-16-19-new-hampshire
5324,2019-01-16-19-njit
1405,2019-01-16-19-north-carolina-asheville
3354,2019-01-16-19-oklahoma
4441,2019-01-16-19-penn-state
2518,2019-01-16-19-presbyterian
2574,2019-01-16-19-richmond
5194,2019-01-16-19-sam-houston-state
5158,2019-01-16-19-stetson
1879,2019-01-16-19-texas-am
2471,2019-01-16-19-tulsa
1921,2019-01-16-19-vanderbilt
2013,2019-01-16-19-winthrop
3044,2019-01-16-20-bradley
4708,2019-01-16-20-depaul
1719,2019-01-16-20-incarnate-word
655,2019-01-16-20-la-salle
1326,2019-01-16-20-missouri-state
684,2019-01-16-20-new-orleans
886,2019-01-16-20-north-dakota
22,2019-01-16-20-northern-iowa
4886,2019-01-16-20-southeastern-louisiana
2698,2019-01-16-20-virginia-commonwealth
620,2019-01-16-21-clemson
2002,2019-01-16-21-denver
4464,2019-01-16-21-illinois
1868,2019-01-16-21-missouri
146,2019-01-16-21-southern-methodist
3383,2019-01-16-21-texas-tech
1301,2019-01-16-22-california-irvine
454,2019-01-16-22-san-jose-state
2426,2019-01-16-22-wichita-state
583,2019-01-16-23-air-force
214,2019-01-17-19-charlotte
2241,2019-01-17-19-cleveland-state
3795,2019-01-17-19-delaware
3403,2019-01-17-19-drexel
1578,2019-01-17-19-east-tennessee-state
436,2019-01-17-19-eastern-kentucky
1526,2019-01-17-19-hofstra
716,2019-01-17-19-marshall
5215,2019-01-17-19-middle-tennessee
4392,2019-01-17-19-monmouth
4217,2019-01-17-19-morehead-state
1789,2019-01-17-19-northeastern
1779,2019-01-17-19-old-dominion
4319,2019-01-17-19-quinnipiac
4375,2019-01-17-19-saint-peters
1566,2019-01-17-19-samford
4340,2019-01-17-19-siena
3031,2019-01-17-19-tennessee-tech
3711,2019-01-17-19-troy
1431,2019-01-17-19-western-carolina
4660,2019-01-17-19-youngstown-state
5068,2019-01-17-20-alabama-birmingham
1556,2019-01-17-20-chattanooga
5535,2019-01-17-20-eastern-illinois
5077,2019-01-17-20-green-bay
5571,2019-01-17-20-jacksonville-state
3187,2019-01-17-20-milwaukee
43,2019-01-17-20-nebraska
913,2019-01-17-20-northern-arizona
1353,2019-01-17-20-oral-roberts
3127,2019-01-17-20-south-alabama
2998,2019-01-17-20-southern-illinois-edwardsville
4773,2019-01-17-20-southern-utah
2964,2019-01-17-20-texas-arlington
1056,2019-01-17-20-texas-state
3053,2019-01-17-20-western-illinois
5175,2019-01-17-20-western-kentucky
3911,2019-01-17-21-arizona
5498,2019-01-17-21-gonzaga
984,2019-01-17-21-grand-canyon
342,2019-01-17-21-pacific
1385,2019-01-17-21-radford
936,2019-01-17-21-utah-valley
5137,2019-01-17-21-washington
852,2019-01-17-21-weber-state
4192,2019-01-17-22-arizona-state
875,2019-01-17-22-cal-state-bakersfield
1373,2019-01-17-22-cal-state-fullerton
1024,2019-01-17-22-cal-state-northridge
4788,2019-01-17-22-california-davis
4803,2019-01-17-22-portland
928,2019-01-17-22-seattle
423,2019-01-17-22-washington-state
3701,2019-01-17-23-pepperdine
4826,2019-01-17-23-saint-marys-ca
4477,2019-01-18-18-ohio-state
179,2019-01-18-19-buffalo
4329,2019-01-18-19-iona
4487,2019-01-18-19-rutgers
2611,2019-01-18-19-saint-louis
4739,2019-01-18-19-toledo
3893,2019-01-18-20-villanova
1127,2019-01-19-12-central-florida
2571,2019-01-19-12-davidson
1670,2019-01-19-12-georgia
3660,2019-01-19-12-holy-cross
672,2019-01-19-12-lehigh
2764,2019-01-19-12-miami-fl
1523,2019-01-19-12-northeastern
5511,2019-01-19-12-wisconsin
3593,2019-01-19-13-boston-university
2242,2019-01-19-13-cleveland-state
3498,2019-01-19-13-cornell
4401,2019-01-19-13-fairfield
3178,2019-01-19-13-green-bay
3980,2019-01-19-13-maine
4059,2019-01-19-13-maryland-baltimore-county
1820,2019-01-19-13-mississippi
4020,2019-01-19-13-vermont
1448,2019-01-19-13-virginia-military-institute
4658,2019-01-19-13-youngstown-state
4527,2019-01-19-14-american
3622,2019-01-19-14-army
3868,2019-01-19-14-bowling-green-state
2318,2019-01-19-14-coastal-carolina
2422,2019-01-19-14-connecticut
4618,2019-01-19-14-detroit-mercy
3796,2019-01-19-14-drexel
3108,2019-01-19-14-evansville
839,2019-01-19-14-hartford
13,2019-01-19-14-indiana-state
5103,2019-01-19-14-kent-state
657,2019-01-19-14-la-salle
4901,2019-01-19-14-mcneese-state
775,2019-01-19-14-notre-dame
2337,2019-01-19-14-purdue
4311,2019-01-19-14-quinnipiac
797,2019-01-19-14-syracuse
1801,2019-01-19-14-tennessee
4100,2019-01-19-14-west-virginia
2664,2019-01-19-14-wichita-state
3513,2019-01-19-15-brown
2884,2019-01-19-15-central-connecticut-state
3090,2019-01-19-15-louisiana-monroe
1154,2019-01-19-15-miami-oh
897,2019-01-19-15-north-dakota-state
1647,2019-01-19-15-samford
5281,2019-01-19-15-southern-utah
1886,2019-01-19-15-texas-am
1060,2019-01-19-15-texas-arlington
4079,2019-01-19-15-troy
5559,2019-01-19-15-washington-state
726,2019-01-19-15-western-kentucky
1907,2019-01-19-16-auburn
3474,2019-01-19-16-bethune-cookman
4650,2019-01-19-16-bryant
4691,2019-01-19-16-butler
192,2019-01-19-16-central-michigan
1782,2019-01-19-16-charlotte
1573,2019-01-19-16-chattanooga
1618,2019-01-19-16-east-tennessee-state
2977,2019-01-19-16-eastern-illinois
3169,2019-01-19-16-florida-am
622,2019-01-19-16-georgia-tech
1791,2019-01-19-16-hofstra
1709,2019-01-19-16-incarnate-word
3951,2019-01-19-16-kansas-state
2205,2019-01-19-16-kennesaw-state
5494,2019-01-19-16-long-island-university
3685,2019-01-19-16-loyola-marymount
153,2019-01-19-16-memphis
3235,2019-01-19-16-njit
5154,2019-01-19-16-north-alabama
1406,2019-01-19-16-north-carolina-asheville
3332,2019-01-19-16-north-carolina-at
3779,2019-01-19-16-north-carolina-central
4766,2019-01-19-16-northern-arizona
2383,2019-01-19-16-old-dominion
2931,2019-01-19-16-presbyterian
3121,2019-01-19-16-south-alabama
2258,2019-01-19-16-south-carolina-state
1479,2019-01-19-16-south-carolina-upstate
3861,2019-01-19-16-southern-california
2641,2019-01-19-16-st-bonaventure
4975,2019-01-19-16-st-francis-ny
1261,2019-01-19-16-valparaiso
743,2019-01-19-16-virginia-tech
4985,2019-01-19-16-wagner
3201,2019-01-19-16-william-mary
504,2019-01-19-17-boise-state
3949,2019-01-19-17-central-arkansas
1501,2019-01-19-17-charleston-southern
1198,2019-01-19-17-eastern-washington
2391,2019-01-19-17-temple
2961,2019-01-19-17-texas-state
429,2019-01-19-17-washington
2282,2019-01-19-18-alabama-am
1248,2019-01-19-18-alcorn-state
3379,2019-01-19-18-baylor
5446,2019-01-19-18-belmont
1025,2019-01-19-18-cal-state-northridge
5393,2019-01-19-18-duke
79,2019-01-19-18-iowa-state
1841,2019-01-19-18-louisiana-state
5069,2019-01-19-18-middle-tennessee
441,2019-01-19-18-morehead-state
552,2019-01-19-18-new-mexico
2364,2019-01-19-18-north-texas
4141,2019-01-19-18-prairie-view
2913,2019-01-19-18-savannah-state
1190,2019-01-19-18-southern
3928,2019-01-19-18-texas-am-corpus-christi
1087,2019-01-19-18-virginia-commonwealth
4190,2019-01-19-19-arizona
2077,2019-01-19-19-delaware
4205,2019-01-19-19-eastern-kentucky
2513,2019-01-19-19-gardner-webb
2679,2019-01-19-19-george-mason
4596,2019-01-19-19-liberty
4675,2019-01-19-19-marshall
4117,2019-01-19-19-milwaukee
464,2019-01-19-19-nevada-las-vegas
4304,2019-01-19-19-rider
1654,2019-01-19-19-wofford
5213,2019-01-19-20-alabama-birmingham
371,2019-01-19-20-california-davis
325,2019-01-19-20-california-riverside
639,2019-01-19-20-houston-baptist
3023,2019-01-19-20-jacksonville-state
4451,2019-01-19-20-minnesota
2140,2019-01-19-20-seton-hall
3840,2019-01-19-20-south-florida
3002,2019-01-19-20-southern-illinois-edwardsville
3359,2019-01-19-20-texas
5368,2019-01-19-20-texas-southern
1937,2019-01-19-20-vanderbilt
2173,2019-01-19-20-western-illinois
3368,2019-01-19-21-arizona-state
869,2019-01-19-21-grand-canyon
5472,2019-01-19-21-saint-marys-ca
480,2019-01-19-21-utah-state
1293,2019-01-19-21-utah-valley
5292,2019-01-19-21-weber-state
993,2019-01-19-22-cal-state-bakersfield
5227,2019-01-19-22-idaho
405,2019-01-19-22-long-beach-state
594,2019-01-19-22-nevada
346,2019-01-19-22-pacific
4800,2019-01-19-22-portland
924,2019-01-19-22-seattle
1114,2019-01-19-23-san-francisco
3442,2019-01-20-12-boston-college
2347,2019-01-20-12-marquette
2549,2019-01-20-12-monmouth
4412,2019-01-20-13-iowa
1332,2019-01-20-16-drake
2499,2019-01-20-16-george-washington
3211,2019-01-20-16-southern-illinois
105,2019-01-20-18-denver
5112,2019-01-20-18-utah
1345,2019-01-20-19-nebraska-omaha
4501,2019-01-21-13-howard
4961,2019-01-21-14-fairleigh-dickinson
1408,2019-01-21-14-winthrop
2887,2019-01-21-15-central-connecticut-state
4278,2019-01-21-15-long-island-university
4986,2019-01-21-15-sacred-heart
2743,2019-01-21-16-bethune-cookman
208,2019-01-21-16-charlotte
3473,2019-01-21-16-florida-am
3333,2019-01-21-16-north-carolina-central
1484,2019-01-21-16-south-carolina-upstate
2837,2019-01-21-17-bryant
1956,2019-01-21-18-michigan-state
5157,2019-01-21-19-florida-gulf-coast
2019,2019-01-21-19-liberty
2199,2019-01-21-19-lipscomb
2929,2019-01-21-19-longwood
4299,2019-01-21-19-manhattan
3420,2019-01-21-19-north-carolina
2096,2019-01-21-19-north-carolina-at
4608,2019-01-21-19-north-florida
1688,2019-01-21-19-prairie-view
2259,2019-01-21-19-south-carolina-state
4143,2019-01-21-19-texas-southern
1189,2019-01-21-20-alcorn-state
4576,2019-01-21-20-georgetown
53,2019-01-21-20-rutgers
1249,2019-01-21-20-southern
853,2019-01-21-21-idaho-state
36,2019-01-21-21-kansas
234,2019-01-21-21-west-virginia
3301,2019-01-21-21-western-kentucky
1905,2019-01-22-18-south-carolina
196,2019-01-22-19-akron
2794,2019-01-22-19-ball-state
4250,2019-01-22-19-butler
173,2019-01-22-19-eastern-michigan
788,2019-01-22-19-florida-state
768,2019-01-22-19-georgia-tech
3380,2019-01-22-19-kansas-state
5039,2019-01-22-19-kent-state
1899,2019-01-22-19-kentucky
4454,2019-01-22-19-michigan
3875,2019-01-22-19-ohio
1881,2019-01-22-20-florida
4344,2019-01-22-20-niagara
5075,2019-01-22-20-northern-illinois
2671,2019-01-22-20-south-florida
511,2019-01-22-21-air-force
1836,2019-01-22-21-alabama
2329,2019-01-22-21-northwestern
804,2019-01-22-21-pittsburgh
745,2019-01-22-21-virginia
575,2019-01-22-22-nevada-las-vegas
524,2019-01-22-23-fresno-state
3591,2019-01-23-17-boston-university
3902,2019-01-23-18-xavier
4054,2019-01-23-19-albany-ny
3662,2019-01-23-19-army
4033,2019-01-23-19-binghamton
4564,2019-01-23-19-bradley
3631,2019-01-23-19-bucknell
3445,2019-01-23-19-colgate
2495,2019-01-23-19-davidson
2701,2019-01-23-19-dayton
723,2019-01-23-19-florida-atlantic
2694,2019-01-23-19-fordham
3559,2019-01-23-19-hartford
3263,2019-01-23-19-indiana-state
1658,2019-01-23-19-louisiana-state
1090,2019-01-23-19-massachusetts
3614,2019-01-23-19-navy
4921,2019-01-23-19-northwestern-state
4479,2019-01-23-19-ohio-state
3409,2019-01-23-19-rhode-island
2583,2019-01-23-19-saint-josephs
254,2019-01-23-19-texas-christian
1922,2019-01-23-19-vanderbilt
5382,2019-01-23-19-vermont
3929,2019-01-23-20-central-arkansas
3115,2019-01-23-20-drake
2627,2019-01-23-20-duquesne
2441,2019-01-23-20-houston
641,2019-01-23-20-houston-baptist
1711,2019-01-23-20-lamar
4702,2019-01-23-20-marquette
895,2019-01-23-20-north-dakota
1270,2019-01-23-20-southern-illinois
3946,2019-01-23-20-texas-am-corpus-christi
2404,2019-01-23-20-tulane
1867,2019-01-23-21-arkansas
4410,2019-01-23-21-illinois
1083,2019-01-23-21-missouri-state
86,2019-01-23-21-oklahoma-state
460,2019-01-23-21-wyoming
358,2019-01-23-22-cal-poly
400,2019-01-23-22-cal-state-northridge
326,2019-01-23-23-hawaii
478,2019-01-23-23-nevada
5019,2019-01-24-11-iupui
1064,2019-01-24-19-arkansas-little-rock
2888,2019-01-24-19-bryant
2943,2019-01-24-19-campbell
4551,2019-01-24-19-canisius
1124,2019-01-24-19-cincinnati
1469,2019-01-24-19-college-of-charleston
2179,2019-01-24-19-eastern-kentucky
4381,2019-01-24-19-fairfield
4130,2019-01-24-19-fairleigh-dickinson
1597,2019-01-24-19-furman
1968,2019-01-24-19-georgia-southern
4074,2019-01-24-19-georgia-state
1489,2019-01-24-19-hampton
4429,2019-01-24-19-iowa
2167,2019-01-24-19-ipfw
3788,2019-01-24-19-james-madison
1219,2019-01-24-19-lipscomb
2128,2019-01-24-19-longwood
1594,2019-01-24-19-mercer
861,2019-01-24-19-missouri-kansas-city
3020,2019-01-24-19-morehead-state
4272,2019-01-24-19-mount-st-marys
2202,2019-01-24-19-north-alabama
1562,2019-01-24-19-north-carolina-greensboro
3198,2019-01-24-19-north-carolina-wilmington
4605,2019-01-24-19-north-florida
5087,2019-01-24-19-northern-kentucky
1502,2019-01-24-19-radford
4981,2019-01-24-19-robert-morris
2826,2019-01-24-19-saint-francis-pa
5155,2019-01-24-19-stetson
1768,2019-01-24-19-temple
2812,2019-01-24-19-towson
1386,2019-01-24-19-winthrop
1640,2019-01-24-19-wofford
3812,2019-01-24-19-wright-state
2306,2019-01-24-20-arkansas-state
991,2019-01-24-20-chicago-state
4625,2019-01-24-20-illinois-chicago
3125,2019-01-24-20-louisiana-lafayette
3718,2019-01-24-20-louisiana-monroe
2777,2019-01-24-20-louisville
5592,2019-01-24-20-north-texas
3318,2019-01-24-20-rice
1991,2019-01-24-20-south-dakota-state
4213,2019-01-24-20-southeast-missouri-state
2385,2019-01-24-20-southern-mississippi
2760,2019-01-24-20-syracuse
434,2019-01-24-20-tennessee-martin
206,2019-01-24-20-texas-san-antonio
5450,2019-01-24-21-austin-peay
3295,2019-01-24-21-louisiana-tech
843,2019-01-24-21-montana
1201,2019-01-24-21-montana-state
5404,2019-01-24-21-murray-state
5261,2019-01-24-21-northern-colorado
3375,2019-01-24-21-oregon
3916,2019-01-24-21-southern-california
5129,2019-01-24-21-stanford
5063,2019-01-24-21-texas-el-paso
5600,2019-01-24-22-cal-state-fullerton
1017,2019-01-24-22-california-baptist
4860,2019-01-24-22-portland-state
5244,2019-01-24-22-sacramento-state
5501,2019-01-24-22-san-diego
4807,2019-01-24-22-san-francisco
1286,2019-01-24-23-brigham-young
424,2019-01-24-23-california
5564,2019-01-24-23-oregon-state
4825,2019-01-24-23-santa-clara
3851,2019-01-24-23-ucla
2328,2019-01-25-18-indiana
5221,2019-01-25-18-kent-state
2593,2019-01-25-19-iona
4336,2019-01-25-19-marist
3514,2019-01-25-19-yale
4249,2019-01-25-20-creighton
1798,2019-01-26-12-baylor
623,2019-01-26-12-duke
4869,2019-01-26-12-loyola-md
1958,2019-01-26-12-maryland
1839,2019-01-26-12-mississippi
45,2019-01-26-12-nebraska
270,2019-01-26-12-texas-christian
3999,2019-01-26-13-binghamton
2882,2019-01-26-13-central-connecticut-state
1591,2019-01-26-13-citadel
3141,2019-01-26-13-georgia-state
4616,2019-01-26-13-iupui
3563,2019-01-26-13-new-hampshire
765,2019-01-26-13-notre-dame
5419,2019-01-26-14-delaware
2710,2019-01-26-14-duquesne
2690,2019-01-26-14-fordham
260,2019-01-26-14-georgia
3524,2019-01-26-14-harvard
3458,2019-01-26-14-lafayette
3596,2019-01-26-14-lehigh
803,2019-01-26-14-louisville
791,2019-01-26-14-north-carolina-state
2793,2019-01-26-14-ohio
1856,2019-01-26-14-oklahoma-state
2624,2019-01-26-14-saint-louis
5043,2019-01-26-14-texas-am
3392,2019-01-26-14-towson
3881,2019-01-26-14-western-michigan
304,2019-01-26-14-wisconsin
3891,2019-01-26-14-xavier
840,2019-01-26-15-albany-ny
975,2019-01-26-15-chicago-state
3621,2019-01-26-15-holy-cross
1742,2019-01-26-15-louisiana-monroe
2658,2019-01-26-15-miami-oh
2226,2019-01-26-15-morehead-state
4545,2019-01-26-15-niagara
222,2019-01-26-16-american
1066,2019-01-26-16-arkansas-little-rock
2983,2019-01-26-16-austin-peay
556,2019-01-26-16-boise-state
4648,2019-01-26-16-bryant
3204,2019-01-26-16-college-of-charleston
5,2019-01-26-16-colorado-state
2095,2019-01-26-16-coppin-state
2447,2019-01-26-16-east-carolina
1656,2019-01-26-16-furman
3465,2019-01-26-16-howard
3181,2019-01-26-16-illinois-chicago
1702,2019-01-26-16-incarnate-word
3785,2019-01-26-16-james-madison
642,2019-01-26-16-mcneese-state
3042,2019-01-26-16-missouri-state
855,2019-01-26-16-montana-state
704,2019-01-26-16-morgan-state
565,2019-01-26-16-new-mexico
3776,2019-01-26-16-north-carolina-central
1529,2019-01-26-16-north-carolina-wilmington
4922,2019-01-26-16-northwestern-state
1940,2019-01-26-16-oklahoma
4199,2019-01-26-16-oregon-state
4812,2019-01-26-16-pacific
4453,2019-01-26-16-penn-state
2008,2019-01-26-16-presbyterian
2941,2019-01-26-16-south-carolina-upstate
1351,2019-01-26-16-south-dakota
240,2019-01-26-16-tennessee
3006,2019-01-26-16-tennessee-martin
5574,2019-01-26-16-texas-san-antonio
760,2019-01-26-16-wake-forest
5106,2019-01-26-17-akron
2969,2019-01-26-17-arkansas-state
1387,2019-01-26-17-charleston-southern
3729,2019-01-26-17-georgia-southern
5168,2019-01-26-17-louisiana-tech
1234,2019-01-26-17-mississippi-valley-state
4957,2019-01-26-17-mount-st-marys
1543,2019-01-26-17-north-carolina-greensboro
4995,2019-01-26-17-robert-morris
5426,2019-01-26-17-south-dakota-state
5540,2019-01-26-17-southeast-missouri-state
3299,2019-01-26-17-southern-mississippi
5301,2019-01-26-18-alabama-state
2675,2019-01-26-18-connecticut
1691,2019-01-26-18-grambling
736,2019-01-26-18-hampton
4097,2019-01-26-18-kentucky
1857,2019-01-26-18-missouri
2738,2019-01-26-18-norfolk-state
3308,2019-01-26-18-north-texas
2573,2019-01-26-18-richmond
4885,2019-01-26-18-sam-houston-state
2275,2019-01-26-18-savannah-state
