,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA_homegame,VIRGINIA_homegame2,VIRGINIA_home,VIRGINIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
27,2019-03-02-14-virginia,70.6,12,8.0,2,121.7,94.7,18,0.455,44,0.386,17,0.295,13,0.6920000000000001,9,17,200,81.7,17.9,5,18,49,,10.0,6,0.43200000000000005,19,0.316,6,48.9,23,0.488,23.2,15,25,0.44,11,0.414,12,"March 2, 2019",58.3,14,4.0,1,81.7,82.1,23,0.695,41,0.585,24,0.488,20,0.8,16,2,200,121.7,5.3,1,16,73,2.0,15.0,9,0.39,16,0.563,9,51.1,24,0.723,16.7,10,25,0.6,15,0.929,26,"John Paul Jones Arena, Charlottesville, Virginia",PITTSBURGH,Pitt,59.8,Home,VIRGINIA,Virginia,Virginia,acc,27,True,False,True,Home,True,9,15,41,24,47,6,11,44,1,0,217,481,1465,0.5505119453924915,903,1624,0.5560344827586207,154,378,1423,0.4279690794096978,0.9259259259259259
28,2019-03-04-19-syracuse,75.0,21,25.0,8,86.9,70.3,26,0.725,51,0.5489999999999999,28,0.21600000000000003,11,0.455,5,2,200,129.5,24.0,6,16,79,2.0,11.5,7,0.49,25,0.72,18,51.6,32,0.703,16.5,11,26,0.385,10,0.9309999999999999,27,"March 4, 2019",42.1,8,15.4,4,129.5,76.0,19,0.40399999999999997,57,0.33299999999999996,19,0.193,11,0.636,7,11,200,86.9,29.7,11,13,53,,14.8,9,0.439,25,0.32,8,48.4,30,0.426,12.7,9,32,0.344,11,0.633,19,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,60.7,Away,VIRGINIA,Virginia,Virginia,acc,28,False,False,False,Away,True,18,10,51,32,62,8,11,57,1,0,226,496,1506,0.5544488711819389,927,1671,0.5547576301615799,160,389,1467,0.4287661895023858,0.9285714285714286
29,2019-03-09-16-virginia,30.4,7,10.3,3,114.1,75.0,24,0.491,56,0.41100000000000003,23,0.304,17,0.765,13,12,200,106.3,37.0,10,20,68,,3.1,2,0.446,25,0.36,9,57.6,34,0.531,13.6,10,31,0.452,14,0.613,19,"March 9, 2019",56.5,13,19.4,6,106.3,63.0,17,0.509,57,0.40399999999999997,23,0.368,21,0.7140000000000001,15,2,200,114.1,25.0,8,15,73,2.0,10.9,7,0.491,28,0.429,12,42.4,25,0.545,5.7,4,29,0.379,11,0.9329999999999999,28,"John Paul Jones Arena, Charlottesville, Virginia",LOUISVILLE,Louisville,63.5,Home,VIRGINIA,Virginia,Virginia,acc,29,True,False,True,Home,True,12,11,57,25,59,9,14,56,1,0,244,506,1557,0.5600513808606294,959,1733,0.5533756491633006,168,400,1524,0.42782152230971127,0.9310344827586207
30,2019-03-14-12-virginia,31.6,6,11.1,3,122.6,77.3,17,0.418,49,0.38799999999999996,19,0.51,25,0.6,15,11,200,90.3,22.6,7,18,56,,4.8,3,0.408,20,0.15,3,45.3,24,0.46,13.0,9,29,0.552,16,0.667,22,"March 14, 2019",72.0,18,3.4,1,90.3,77.4,24,0.625,48,0.521,25,0.45799999999999996,22,0.727,16,2,200,122.6,22.7,5,19,76,2.0,11.3,7,0.43799999999999994,21,0.47600000000000003,10,54.7,29,0.65,10.8,7,27,0.556,15,0.935,29,"Spectrum Center, Charlotte, North Carolina",NORTH-CAROLINA-STATE,NC State,61.7,Home,VIRGINIA,Virginia,Virginia,acc,30,True,False,True,Home,True,10,15,48,29,53,3,16,49,1,0,256,517,1614,0.5582403965303594,984,1792,0.5491071428571429,177,414,1580,0.4300632911392405,0.9333333333333333
31,2019-03-15-19-virginia,38.5,10,10.3,3,101.7,80.0,24,0.63,46,0.565,26,0.326,15,0.733,11,6,200,119.0,42.9,9,16,69,12.0,5.2,3,0.348,16,0.375,6,64.7,33,0.649,18.6,12,30,0.667,20,0.818,27,"March 15, 2019",36.4,8,6.7,2,119.0,57.1,12,0.462,53,0.415,22,0.245,13,0.769,10,3,200,101.7,20.0,6,17,59,2.0,8.6,5,0.45299999999999996,24,0.20800000000000002,5,35.3,18,0.499,10.7,7,29,0.586,17,0.9059999999999999,29,"Spectrum Center, Charlotte, North Carolina",VIRGINIA,Virginia,58.2,Away,FLORIDA-STATE,Florida State,Virginia,acc,31,False,True,True,Home,False,5,17,53,18,51,6,20,46,0,1,266,532,1662,0.5601684717208183,1013,1845,0.5490514905149051,180,430,1629,0.42971147943523635,0.9354838709677419
32,2019-03-22-15-virginia,45.5,10,6.5,2,109.2,57.7,15,0.53,50,0.44,22,0.08,4,0.75,3,12,200,86.2,12.0,3,16,56,16.0,7.7,5,0.46,23,0.391,9,35.3,18,0.539,23.6,16,27,0.48100000000000004,13,0.657,23,"March 22, 2019",42.9,12,11.1,3,86.2,88.0,22,0.583,54,0.519,28,0.24100000000000002,13,0.615,8,3,200,109.2,42.3,11,9,71,1.0,15.4,10,0.426,23,0.304,7,64.7,33,0.59,20.1,15,31,0.677,21,0.909,30,"The Colonial Life Arena, Columbia, South Carolina",GARDNER-WEBB,Gardner-Webb,64.5,Home,VIRGINIA,Virginia,Virginia,acc,32,True,False,True,Home,True,7,21,54,33,51,9,13,50,1,0,271,549,1715,0.5571428571428572,1031,1896,0.5437763713080169,186,450,1675,0.43522388059701494,0.90625
33,2019-03-24-19-virginia,47.4,9,3.1,1,110.5,75.0,21,0.442,52,0.365,19,0.115,6,0.833,5,14,200,89.5,15.6,5,10,51,9.0,5.3,3,0.423,22,0.364,8,43.3,26,0.465,11.4,7,30,0.36700000000000005,11,0.588,20,"March 24, 2019",37.0,10,20.0,6,89.5,84.4,27,0.545,56,0.48200000000000004,27,0.08900000000000001,5,0.4,2,3,200,110.5,25.0,7,11,63,1.0,10.5,6,0.429,24,0.292,7,56.7,34,0.54,9.3,6,32,0.625,20,0.912,31,"The Colonial Life Arena, Columbia, South Carolina",OKLAHOMA,Oklahoma,57.1,Home,VIRGINIA,Virginia,Virginia,acc,33,True,False,True,Home,True,7,20,56,34,60,8,11,52,1,0,278,570,1769,0.5579423403052572,1064,1947,0.5464817668207499,195,463,1725,0.4379710144927536,0.9090909090909091
34,2019-03-28-21-virginia,47.1,8,4.3,1,94.6,75.0,24,0.478,45,0.37799999999999995,17,0.17800000000000002,8,0.75,6,13,200,87.5,17.9,5,14,49,12.0,8.9,5,0.556,25,0.36,9,48.3,29,0.502,17.1,10,20,0.4,8,0.6579999999999999,25,"March 28, 2019",70.0,14,10.0,2,87.5,82.1,23,0.43799999999999994,56,0.35700000000000004,20,0.08900000000000001,5,0.8,4,3,200,94.6,25.0,8,13,53,1.0,7.1,4,0.589,33,0.273,9,51.7,31,0.45399999999999996,12.1,8,23,0.478,11,0.914,32,"KFC Yum! Center, Louisville, Kentucky",OREGON,Oregon,56.1,Home,VIRGINIA,Virginia,Virginia,acc,34,True,False,True,Home,True,9,11,56,31,60,9,8,45,1,0,285,590,1825,0.5575342465753425,1098,2007,0.547085201793722,203,474,1777,0.4380979178390546,0.9117647058823529
35,2019-03-30-20-virginia,33.3,9,13.2,5,129.0,57.5,23,0.618,55,0.491,27,0.182,10,0.7,7,10,225,121.0,25.0,7,17,75,3.0,1.6,1,0.5820000000000001,32,0.43799999999999994,14,44.1,30,0.628,11.9,8,23,0.565,13,0.722,26,"March 30, 2019",51.9,14,17.4,4,121.0,75.0,21,0.485,65,0.415,27,0.308,20,0.85,17,3,225,129.0,42.5,17,13,80,1.0,9.7,6,0.415,27,0.33299999999999996,9,55.9,38,0.537,6.3,5,38,0.474,18,0.917,33,"KFC Yum! Center, Louisville, Kentucky",PURDUE,Purdue,54.8,Home,VIRGINIA,Virginia,Virginia,acc,35,True,False,True,Home,True,9,18,65,38,68,14,13,55,1,0,294,601,1881,0.5539606592238171,1129,2067,0.5462022254475085,212,482,1822,0.43907793633369924,0.9142857142857143
36,2019-04-06-18-virginia,42.9,9,9.4,3,106.8,85.2,23,0.46399999999999997,55,0.382,21,0.255,14,0.7859999999999999,11,10,200,105.1,21.9,7,12,62,5.0,5.1,3,0.564,31,0.29,9,50.8,30,0.503,6.1,4,24,0.5,12,0.75,30,"April 6, 2019",60.0,15,37.5,9,105.1,78.1,25,0.5589999999999999,51,0.49,25,0.235,12,0.5,6,3,200,106.8,14.8,4,12,63,1.0,1.7,1,0.373,19,0.368,7,49.2,29,0.556,9.6,6,32,0.563,18,0.919,34,"U.S. Bank Stadium, Minneapolis, Minnesota",AUBURN,Auburn,58.7,Home,VIRGINIA,Virginia,Virginia,acc,36,True,False,True,Home,True,7,18,51,29,59,9,12,55,1,0,303,619,1946,0.5516443987667009,1167,2135,0.5466042154566745,226,495,1877,0.444326052210975,0.9166666666666666
37,2019-04-08-21-virginia,33.3,9,8.6,3,119.7,67.6,23,0.508,63,0.429,27,0.23800000000000002,15,0.867,13,7,225,108.5,20.6,7,18,77,3.0,8.5,6,0.47600000000000003,30,0.33299999999999996,10,44.1,30,0.5489999999999999,10.3,8,33,0.515,17,0.816,31,"April 8, 2019",55.6,15,9.1,3,108.5,79.4,27,0.551,59,0.45799999999999996,27,0.39,23,0.87,20,3,225,119.7,32.4,11,15,85,1.0,5.6,4,0.40700000000000003,24,0.45799999999999996,11,55.9,38,0.608,13.7,11,35,0.457,16,0.9209999999999999,35,"U.S. Bank Stadium, Minneapolis, Minnesota",TEXAS-TECH,Texas Tech,62.7,Home,VIRGINIA,Virginia,Virginia,acc,37,True,False,True,Home,True,11,16,59,38,68,10,17,63,1,0,310,637,1997,0.5518277416124187,1196,2194,0.545123062898815,235,507,1932,0.4448757763975155,0.918918918918919
