,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-FLORIDA_homegame,SOUTH-FLORIDA_homegame2,SOUTH-FLORIDA_home,SOUTH-FLORIDA_location,total_threes_made,total_fg_made,total_fg_attempts,pregame_total_threes_made,pregame_total_fg_made,pregame_total_fg_attempts,pregame_eFG,team_win_bool,total_2pt_made,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_2pt_made,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
27,2019-02-27-19-south-florida,76.0,19,14.3,3,96.9,77.8,21,0.611,45,0.556,25,0.644,29,0.69,20,6,200,115.4,33.3,7,20,75,,9.2,6,0.267,12,0.41700000000000004,5,58.3,28,0.638,17.2,12,33,0.606,20,0.778,21,"February 27, 2019",76.2,16,6.1,2,115.4,66.7,14,0.522,46,0.457,21,0.522,24,0.625,15,10,200,96.9,22.2,6,25,63,,6.2,4,0.5429999999999999,25,0.24,6,41.7,20,0.5489999999999999,19.8,14,21,0.7140000000000001,15,0.643,18,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,64.6,Away,CENTRAL-FLORIDA,UCF,South Florida,aac,27,False,True,True,Home,6,21,46,186,650,1495,0.496989966555184,False,15,20,48,5,20,45,0,1,464,950,1709,0.5558806319485079,175,416,1435,0.472822299651568,0.6666666666666666
28,2019-03-03-12-connecticut,63.2,12,8.1,3,89.6,75.0,24,0.353,58,0.32799999999999996,19,0.379,22,0.773,17,11,200,86.6,45.5,15,22,58,,11.9,8,0.32799999999999996,19,0.158,3,60.0,39,0.424,17.1,14,39,0.41,16,0.621,18,"March 3, 2019",45.0,9,10.3,4,86.6,54.5,18,0.385,52,0.385,20,0.519,27,0.741,20,15,200,89.6,25.0,8,19,60,,9.0,6,0.28800000000000003,15,0.0,0,40.0,26,0.46299999999999997,13.5,10,37,0.541,20,0.483,14,"Harry A. Gampel Pavilion, Storrs, Connecticut",SOUTH-FLORIDA,South Florida,67.1,Home,CONNECTICUT,UConn,South Florida,aac,28,False,False,False,Away,3,19,58,192,671,1541,0.4977287475665153,False,16,39,65,0,20,52,0,1,479,970,1757,0.5520774046670461,180,436,1480,0.477027027027027,0.6428571428571429
29,2019-03-06-20-tulane,53.8,14,5.6,2,98.6,81.5,22,0.551,59,0.441,26,0.33899999999999997,20,0.5,10,11,200,105.6,38.7,12,20,75,,5.6,4,0.508,30,0.433,13,58.6,34,0.547,16.1,13,29,0.44799999999999995,13,0.633,19,"March 6, 2019",79.2,19,6.9,2,105.6,61.3,19,0.509,54,0.444,24,0.389,21,0.7140000000000001,15,25,200,98.6,18.5,5,19,70,,9.9,7,0.33299999999999996,18,0.389,7,41.4,24,0.547,18.1,14,36,0.47200000000000003,17,0.138,4,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,71.2,Away,SOUTH-FLORIDA,South Florida,South Florida,aac,29,False,False,False,Away,13,26,59,195,690,1599,0.4924953095684803,True,13,34,58,7,17,54,1,0,495,1009,1822,0.5537870472008781,180,456,1532,0.4738903394255874,0.6206896551724138
30,2019-03-10-16-south-florida,55.2,16,5.4,2,102.9,64.1,25,0.64,50,0.58,29,0.4,20,0.65,13,16,200,111.6,11.5,3,20,77,,13.0,9,0.28,14,0.429,6,43.1,28,0.647,14.5,10,36,0.639,23,0.467,14,"March 10, 2019",61.9,13,2.8,1,111.6,88.5,23,0.4,60,0.35,21,0.5329999999999999,32,0.7190000000000001,23,12,200,102.9,35.9,14,16,71,,7.2,5,0.38299999999999995,23,0.261,6,56.9,37,0.47200000000000003,12.9,11,37,0.405,15,0.613,19,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,69.4,Away,SOUTHERN-METHODIST,SMU,South Florida,aac,30,False,True,True,Home,6,21,60,208,716,1658,0.4945717732207479,False,15,37,65,6,23,50,0,1,508,1043,1880,0.5547872340425531,187,473,1586,0.475094577553594,0.6333333333333333
31,2019-03-14-13-south-florida,64.0,16,21.9,7,104.3,72.7,24,0.685,46,0.5429999999999999,25,0.609,28,0.607,17,16,200,114.3,21.7,5,23,80,,5.7,4,0.522,24,0.542,13,51.8,29,0.675,18.2,13,22,0.545,12,0.5,16,"March 14, 2019",62.5,15,18.2,4,114.3,78.3,18,0.491,56,0.429,24,0.48200000000000004,27,0.667,18,13,200,104.3,27.3,9,23,73,,10.0,7,0.429,24,0.292,7,48.2,27,0.53,15.0,12,32,0.531,17,0.594,19,"FedExForum, Memphis, Tennessee",SOUTH-FLORIDA,South Florida,69.6,Away,CONNECTICUT,UConn,South Florida,aac,31,False,True,True,Home,7,24,56,214,737,1718,0.4912689173457509,False,17,27,56,13,12,46,0,1,523,1080,1945,0.5552699228791774,193,496,1636,0.4801344743276284,0.6129032258064516
32,2019-03-20-19-south-florida,56.0,14,21.6,8,94.3,83.3,30,0.45399999999999996,65,0.385,25,0.369,24,0.833,20,9,225,90.8,24.3,9,30,79,,11.5,10,0.431,28,0.321,9,53.4,39,0.517,20.9,20,37,0.4320000000000001,16,0.727,24,"March 20, 2019",54.5,12,10.8,4,90.8,75.7,28,0.445,55,0.4,22,0.873,48,0.688,33,13,225,94.3,16.7,6,20,82,,16.1,14,0.327,18,0.278,5,46.6,34,0.527,16.5,15,37,0.45899999999999996,17,0.606,20,"Sun Dome, Tampa, Florida",STONY-BROOK,Stony Brook,77.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,32,True,False,True,Home,5,22,55,221,761,1774,0.4912626832018038,True,17,34,73,9,16,65,1,0,540,1107,2001,0.553223388305847,206,508,1682,0.4857312722948871,0.59375
33,2019-03-25-19-south-florida,58.3,14,8.3,3,97.1,71.0,22,0.474,57,0.42100000000000004,24,0.12300000000000001,7,0.429,3,10,200,83.8,31.3,10,12,57,,8.8,6,0.33299999999999996,19,0.316,6,50.8,32,0.47200000000000003,25.0,20,38,0.474,18,0.7140000000000001,25,"March 25, 2019",68.0,17,10.5,4,83.8,68.8,22,0.4920000000000001,61,0.41,25,0.098,6,1.0,6,13,200,97.1,29.0,9,10,66,,22.1,15,0.41,25,0.4,10,49.2,31,0.517,13.6,10,36,0.41700000000000004,15,0.618,21,"Sun Dome, Tampa, Florida",UTAH-VALLEY,Utah Valley,67.6,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,33,True,False,True,Home,10,25,61,226,783,1829,0.4898851831601968,True,15,31,63,6,18,57,1,0,557,1141,2074,0.5501446480231437,215,524,1747,0.4845449341728678,0.6060606060606061
34,2019-03-28-19-south-florida,75.0,15,20.0,6,91.8,75.0,21,0.45,50,0.4,20,0.12,6,0.33299999999999996,2,12,200,77.0,16.1,5,17,47,,9.8,6,0.3,15,0.33299999999999996,5,44.1,26,0.445,19.8,13,35,0.429,15,0.647,22,"March 28, 2019",52.6,10,11.4,4,77.0,83.9,26,0.436,47,0.40399999999999997,19,0.489,23,0.652,15,13,200,91.8,25.0,7,13,56,,13.1,8,0.36200000000000004,17,0.17600000000000002,3,55.9,33,0.483,16.1,11,30,0.5329999999999999,16,0.629,22,"Sun Dome, Tampa, Florida",LOYOLA-MARYMOUNT,Loyola Marymount,61.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,34,True,False,True,Home,3,19,47,236,808,1890,0.48994708994709,True,16,33,59,5,15,50,1,0,572,1172,2137,0.5484323818437061,221,542,1804,0.4842017738359202,0.6176470588235294
35,2019-04-01-19-south-florida,50.0,10,23.3,7,96.9,75.0,24,0.442,52,0.385,20,0.40399999999999997,21,0.7140000000000001,15,16,200,93.8,20.0,6,20,61,,9.2,6,0.28800000000000003,15,0.4,6,48.4,30,0.4920000000000001,14.0,10,37,0.37799999999999995,14,0.529,18,"April 1, 2019",54.5,12,10.8,4,93.8,80.0,24,0.519,52,0.423,22,0.327,17,0.529,9,13,200,96.9,25.0,8,21,63,,3.1,2,0.423,22,0.455,10,51.6,32,0.524,16.8,12,30,0.4,12,0.639,23,"Sun Dome, Tampa, Florida",DEPAUL,DePaul,65.0,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,35,True,False,True,Home,10,22,52,239,827,1937,0.4886422302529685,True,12,32,62,6,14,52,1,0,588,1205,2196,0.5487249544626593,226,557,1854,0.4832793959007552,0.6285714285714286
36,2019-04-03-20-depaul,50.0,17,6.0,3,117.6,71.1,27,0.555,73,0.466,34,0.26,19,0.789,15,14,225,112.9,38.2,13,25,96,,9.4,8,0.466,34,0.382,13,55.6,40,0.585,15.6,15,39,0.5379999999999999,21,0.622,23,"April 3, 2019",47.2,17,10.3,4,112.9,61.8,21,0.5489999999999999,72,0.5,36,0.375,27,0.778,21,16,225,117.6,28.9,11,14,100,,4.7,4,0.306,22,0.318,7,44.4,32,0.589,12.5,12,50,0.58,29,0.5429999999999999,19,"McGrath-Phillips Arena, Chicago, Illinois",SOUTH-FLORIDA,South Florida,75.5,Home,DEPAUL,DePaul,South Florida,aac,36,False,False,False,Away,13,34,73,249,849,1989,0.4894419306184012,False,21,40,72,7,29,72,0,1,600,1237,2258,0.5478299379982285,232,571,1906,0.4821615949632739,0.6388888888888888
37,2019-04-05-19-depaul,42.9,12,5.6,2,89.0,73.2,30,0.569,58,0.483,28,0.31,18,0.611,11,14,200,105.5,32.1,9,25,77,,9.6,7,0.44799999999999995,26,0.385,10,56.5,39,0.579,17.5,14,32,0.563,18,0.632,24,"April 5, 2019",33.3,6,12.5,4,105.5,67.9,19,0.35700000000000004,56,0.321,18,0.679,38,0.6579999999999999,25,17,200,89.0,26.8,11,17,65,,12.3,9,0.35700000000000004,20,0.2,4,43.5,30,0.439,14.2,12,36,0.389,14,0.528,19,"McGrath-Phillips Arena, Chicago, Illinois",DEPAUL,DePaul,73.3,Away,SOUTH-FLORIDA,South Florida,South Florida,aac,37,False,False,False,Away,10,28,58,262,883,2062,0.4917555771096023,True,18,39,69,4,14,56,1,0,621,1277,2330,0.548068669527897,239,600,1978,0.4845803842264914,0.6216216216216216
