,away_defensive_rating,away_effective_field_goal_percentage,away_free_throw_attempt_rate,away_offensive_rating,away_three_point_field_goal_percentage,away_total_rebound_percentage,away_true_shooting_percentage,away_turnover_percentage,away_win_percentage,date,home_defensive_rating,home_effective_field_goal_percentage,home_free_throw_attempt_rate,home_free_throw_percentage,home_offensive_rating,home_three_point_field_goal_percentage,home_total_rebound_percentage,home_true_shooting_percentage,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,Unnamed: 0.1,winner,home_team,away_team
3374,113.7,0.5660000000000001,0.262,108.2,0.563,51.4,0.5760000000000001,12.8,0.267,"January 5, 2019",108.2,0.523,0.439,0.483,113.7,0.324,48.6,0.52,8.2,9,"Bank of Colorado Arena, Greeley, Colorado",IDAHO,Idaho,64.6,NORTHERN-COLORADO,Northern Colorado,Idaho,big-sky,2019-01-05-18-northern-colorado,2019-01-05-18-northern-colorado,Home,NORTHERN-COLORADO,IDAHO
3376,113.7,0.5660000000000001,0.262,108.2,0.563,51.4,0.5760000000000001,12.8,0.267,"January 5, 2019",108.2,0.523,0.439,0.483,113.7,0.324,48.6,0.52,8.2,9,"Bank of Colorado Arena, Greeley, Colorado",IDAHO,Idaho,64.6,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,2019-01-05-18-northern-colorado,2019-01-05-18-northern-colorado,Home,NORTHERN-COLORADO,IDAHO
3378,98.5,0.525,0.262,113.2,0.29600000000000004,56.5,0.561,9.3,0.467,"January 10, 2019",113.2,0.508,0.18600000000000005,0.636,98.5,0.333,43.5,0.522,11.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,68.4,MONTANA-STATE,Montana State,Idaho,big-sky,2019-01-10-22-idaho,2019-01-10-22-idaho,Away,MONTANA-STATE,IDAHO
3380,98.5,0.525,0.262,113.2,0.29600000000000004,56.5,0.561,9.3,0.467,"January 10, 2019",113.2,0.508,0.18600000000000005,0.636,98.5,0.333,43.5,0.522,11.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,68.4,MONTANA-STATE,Montana State,Montana State,big-sky,2019-01-10-22-idaho,2019-01-10-22-idaho,Away,MONTANA-STATE,IDAHO
3382,82.3,0.477,0.219,111.3,0.333,53.7,0.488,7.9,0.667,"January 19, 2019",111.3,0.425,0.132,0.857,82.3,0.333,46.3,0.453,15.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,62.5,MONTANA,Montana,Idaho,big-sky,2019-01-19-22-idaho,2019-01-19-22-idaho,Away,MONTANA,IDAHO
3384,82.3,0.477,0.219,111.3,0.333,53.7,0.488,7.9,0.667,"January 19, 2019",111.3,0.425,0.132,0.857,82.3,0.333,46.3,0.453,15.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,62.5,MONTANA,Montana,Montana,big-sky,2019-01-19-22-idaho,2019-01-19-22-idaho,Away,MONTANA,IDAHO
3386,115.0,0.455,0.25,80.0,0.375,42.9,0.488,22.3,0.222,"January 24, 2019",80.0,0.5770000000000001,0.25,0.6920000000000001,115.0,0.316,57.1,0.593,16.0,8,"The Nest, Sacramento, California",IDAHO,Idaho,60.2,SACRAMENTO-STATE,Sacramento State,Idaho,big-sky,2019-01-24-22-sacramento-state,2019-01-24-22-sacramento-state,Home,SACRAMENTO-STATE,IDAHO
3388,115.0,0.455,0.25,80.0,0.375,42.9,0.488,22.3,0.222,"January 24, 2019",80.0,0.5770000000000001,0.25,0.6920000000000001,115.0,0.316,57.1,0.593,16.0,8,"The Nest, Sacramento, California",IDAHO,Idaho,60.2,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,2019-01-24-22-sacramento-state,2019-01-24-22-sacramento-state,Home,SACRAMENTO-STATE,IDAHO
3390,103.0,0.436,0.145,79.1,0.261,38.6,0.451,24.5,0.211,"January 26, 2019",79.1,0.519,0.377,0.7,103.0,0.34600000000000003,61.4,0.552,22.6,8,"Peter W. Stott Center, Portland, Oregon",IDAHO,Idaho,66.7,PORTLAND-STATE,Portland State,Idaho,big-sky,2019-01-26-22-portland-state,2019-01-26-22-portland-state,Home,PORTLAND-STATE,IDAHO
3392,103.0,0.436,0.145,79.1,0.261,38.6,0.451,24.5,0.211,"January 26, 2019",79.1,0.519,0.377,0.7,103.0,0.34600000000000003,61.4,0.552,22.6,8,"Peter W. Stott Center, Portland, Oregon",IDAHO,Idaho,66.7,PORTLAND-STATE,Portland State,Portland State,big-sky,2019-01-26-22-portland-state,2019-01-26-22-portland-state,Home,PORTLAND-STATE,IDAHO
3394,102.8,0.574,0.265,121.1,0.345,60.6,0.562,9.5,0.35,"February 2, 2019",121.1,0.508,0.242,0.667,102.8,0.304,39.4,0.528,11.6,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,70.8,NORTHERN-ARIZONA,Northern Arizona,Idaho,big-sky,2019-02-02-22-idaho,2019-02-02-22-idaho,Away,NORTHERN-ARIZONA,IDAHO
3396,102.8,0.574,0.265,121.1,0.345,60.6,0.562,9.5,0.35,"February 2, 2019",121.1,0.508,0.242,0.667,102.8,0.304,39.4,0.528,11.6,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,70.8,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky,2019-02-02-22-idaho,2019-02-02-22-idaho,Away,NORTHERN-ARIZONA,IDAHO
3398,98.5,0.518,0.35700000000000004,115.4,0.261,52.5,0.573,8.5,0.5,"February 4, 2019",115.4,0.537,0.13,0.857,98.5,0.526,47.5,0.5579999999999999,20.8,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,64.9,SOUTHERN-UTAH,Southern Utah,Idaho,big-sky,2019-02-04-22-idaho,2019-02-04-22-idaho,Away,SOUTHERN-UTAH,IDAHO
3400,98.5,0.518,0.35700000000000004,115.4,0.261,52.5,0.573,8.5,0.5,"February 4, 2019",115.4,0.537,0.13,0.857,98.5,0.526,47.5,0.5579999999999999,20.8,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,64.9,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,2019-02-04-22-idaho,2019-02-04-22-idaho,Away,SOUTHERN-UTAH,IDAHO
3402,144.9,0.521,0.213,85.5,0.389,36.0,0.57,30.0,0.182,"February 7, 2019",85.5,0.664,0.297,0.789,144.9,0.481,64.0,0.685,10.0,16,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO,Idaho,69.4,MONTANA,Montana,Idaho,big-sky,2019-02-07-21-montana,2019-02-07-21-montana,Home,MONTANA,IDAHO
3404,144.9,0.521,0.213,85.5,0.389,36.0,0.57,30.0,0.182,"February 7, 2019",85.5,0.664,0.297,0.789,144.9,0.481,64.0,0.685,10.0,16,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO,Idaho,69.4,MONTANA,Montana,Montana,big-sky,2019-02-07-21-montana,2019-02-07-21-montana,Home,MONTANA,IDAHO
3406,126.5,0.627,0.091,105.9,0.5,47.9,0.627,20.8,0.174,"February 9, 2019",105.9,0.61,0.56,0.893,126.5,0.318,52.1,0.679,16.1,11,"Max Worthington Arena, Bozeman, Montana",IDAHO,Idaho,68.3,MONTANA-STATE,Montana State,Idaho,big-sky,2019-02-09-16-montana-state,2019-02-09-16-montana-state,Home,MONTANA-STATE,IDAHO
3408,126.5,0.627,0.091,105.9,0.5,47.9,0.627,20.8,0.174,"February 9, 2019",105.9,0.61,0.56,0.893,126.5,0.318,52.1,0.679,16.1,11,"Max Worthington Arena, Bozeman, Montana",IDAHO,Idaho,68.3,MONTANA-STATE,Montana State,Montana State,big-sky,2019-02-09-16-montana-state,2019-02-09-16-montana-state,Home,MONTANA-STATE,IDAHO
3410,73.4,0.542,0.271,117.2,0.368,46.4,0.563,8.3,0.68,"February 14, 2019",117.2,0.443,0.25,0.727,73.4,0.294,53.6,0.477,31.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,63.9,NORTHERN-COLORADO,Northern Colorado,Idaho,big-sky,2019-02-14-22-idaho,2019-02-14-22-idaho,Away,NORTHERN-COLORADO,IDAHO
3412,73.4,0.542,0.271,117.2,0.368,46.4,0.563,8.3,0.68,"February 14, 2019",117.2,0.443,0.25,0.727,73.4,0.294,53.6,0.477,31.1,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,63.9,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,2019-02-14-22-idaho,2019-02-14-22-idaho,Away,NORTHERN-COLORADO,IDAHO
3414,126.2,0.473,0.071,87.7,0.304,37.3,0.4920000000000001,16.0,0.16,"February 18, 2019",87.7,0.589,0.177,0.818,126.2,0.292,62.7,0.61,10.7,10,"Reese Court, Cheney, Washington",IDAHO,Idaho,65.1,EASTERN-WASHINGTON,Eastern Washington,Idaho,big-sky,2019-02-18-19-eastern-washington,2019-02-18-19-eastern-washington,Home,EASTERN-WASHINGTON,IDAHO
3416,126.2,0.473,0.071,87.7,0.304,37.3,0.4920000000000001,16.0,0.16,"February 18, 2019",87.7,0.589,0.177,0.818,126.2,0.292,62.7,0.61,10.7,10,"Reese Court, Cheney, Washington",IDAHO,Idaho,65.1,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,2019-02-18-19-eastern-washington,2019-02-18-19-eastern-washington,Home,EASTERN-WASHINGTON,IDAHO
3418,117.2,0.42,0.14300000000000002,84.4,0.304,41.4,0.452,15.6,0.154,"February 21, 2019",84.4,0.54,0.242,0.5329999999999999,117.2,0.269,58.6,0.542,9.3,9,"Walkup Skydome, Flagstaff, Arizona",IDAHO,Idaho,64.0,NORTHERN-ARIZONA,Northern Arizona,Idaho,big-sky,2019-02-21-20-northern-arizona,2019-02-21-20-northern-arizona,Home,NORTHERN-ARIZONA,IDAHO
3420,117.2,0.42,0.14300000000000002,84.4,0.304,41.4,0.452,15.6,0.154,"February 21, 2019",84.4,0.54,0.242,0.5329999999999999,117.2,0.269,58.6,0.542,9.3,9,"Walkup Skydome, Flagstaff, Arizona",IDAHO,Idaho,64.0,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky,2019-02-21-20-northern-arizona,2019-02-21-20-northern-arizona,Home,NORTHERN-ARIZONA,IDAHO
3422,113.3,0.537,0.463,101.3,0.348,47.1,0.5770000000000001,15.6,0.14800000000000002,"February 23, 2019",101.3,0.517,0.5670000000000001,0.6759999999999999,113.3,0.364,52.9,0.5579999999999999,12.8,14,"Centrum, Cedar City, Utah",IDAHO,Idaho,75.0,SOUTHERN-UTAH,Southern Utah,Idaho,big-sky,2019-02-23-16-southern-utah,2019-02-23-16-southern-utah,Home,SOUTHERN-UTAH,IDAHO
3424,113.3,0.537,0.463,101.3,0.348,47.1,0.5770000000000001,15.6,0.14800000000000002,"February 23, 2019",101.3,0.517,0.5670000000000001,0.6759999999999999,113.3,0.364,52.9,0.5579999999999999,12.8,14,"Centrum, Cedar City, Utah",IDAHO,Idaho,75.0,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,2019-02-23-16-southern-utah,2019-02-23-16-southern-utah,Home,SOUTHERN-UTAH,IDAHO
3426,86.7,0.417,0.333,89.3,0.24,47.1,0.482,14.9,0.5,"February 28, 2019",89.3,0.474,0.281,0.688,86.7,0.476,52.9,0.503,22.9,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,75.1,PORTLAND-STATE,Portland State,Idaho,big-sky,2019-02-28-22-idaho,2019-02-28-22-idaho,Away,PORTLAND-STATE,IDAHO
3428,86.7,0.417,0.333,89.3,0.24,47.1,0.482,14.9,0.5,"February 28, 2019",89.3,0.474,0.281,0.688,86.7,0.476,52.9,0.503,22.9,4,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,75.1,PORTLAND-STATE,Portland State,Portland State,big-sky,2019-02-28-22-idaho,2019-02-28-22-idaho,Away,PORTLAND-STATE,IDAHO
3430,130.6,0.5920000000000001,0.483,125.0,0.5,50.9,0.61,11.0,0.481,"March 2, 2019",125.0,0.6629999999999999,0.5379999999999999,0.893,130.6,0.55,49.1,0.72,15.7,5,"Cowan Spectrum, Moscow, Idaho",SACRAMENTO-STATE,Sacramento State,71.5,IDAHO,Idaho,Idaho,big-sky,2019-03-02-22-idaho,2019-03-02-22-idaho,Home,IDAHO,SACRAMENTO-STATE
3432,130.6,0.5920000000000001,0.483,125.0,0.5,50.9,0.61,11.0,0.481,"March 2, 2019",125.0,0.6629999999999999,0.5379999999999999,0.893,130.6,0.55,49.1,0.72,15.7,5,"Cowan Spectrum, Moscow, Idaho",SACRAMENTO-STATE,Sacramento State,71.5,IDAHO,Idaho,Sacramento State,big-sky,2019-03-02-22-idaho,2019-03-02-22-idaho,Home,IDAHO,SACRAMENTO-STATE
3434,117.7,0.423,0.423,74.7,0.3,45.8,0.472,26.3,0.16699999999999998,"March 7, 2019",74.7,0.5429999999999999,0.391,0.667,117.7,0.25,54.2,0.568,5.8,17,"Dee Events Center, Ogden, Utah",IDAHO,Idaho,78.6,WEBER-STATE,Weber State,Idaho,big-sky,2019-03-07-21-weber-state,2019-03-07-21-weber-state,Home,WEBER-STATE,IDAHO
3436,117.7,0.423,0.423,74.7,0.3,45.8,0.472,26.3,0.16699999999999998,"March 7, 2019",74.7,0.5429999999999999,0.391,0.667,117.7,0.25,54.2,0.568,5.8,17,"Dee Events Center, Ogden, Utah",IDAHO,Idaho,78.6,WEBER-STATE,Weber State,Weber State,big-sky,2019-03-07-21-weber-state,2019-03-07-21-weber-state,Home,WEBER-STATE,IDAHO
3438,119.0,0.509,0.333,112.7,0.368,50.0,0.568,12.7,0.156,"March 13, 2019",112.7,0.639,0.204,0.545,119.0,0.458,50.0,0.633,13.3,15,"CenturyLink Arena, Boise, Idaho",IDAHO,Idaho,63.4,MONTANA-STATE,Montana State,Idaho,big-sky,2019-03-13-16-montana-state,2019-03-13-16-montana-state,Home,MONTANA-STATE,IDAHO
3440,119.0,0.509,0.333,112.7,0.368,50.0,0.568,12.7,0.156,"March 13, 2019",112.7,0.639,0.204,0.545,119.0,0.458,50.0,0.633,13.3,15,"CenturyLink Arena, Boise, Idaho",IDAHO,Idaho,63.4,MONTANA-STATE,Montana State,Montana State,big-sky,2019-03-13-16-montana-state,2019-03-13-16-montana-state,Home,MONTANA-STATE,IDAHO
3442,107.7,0.422,0.313,85.9,0.207,39.3,0.456,15.2,0.0,"November 6, 2018",85.9,0.387,0.613,0.947,107.7,0.182,60.7,0.525,16.9,1,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ILLINOIS-CHICAGO,UIC,77.4,NOTRE-DAME,Notre Dame,Illinois-Chicago,horizon,2018-11-06-19-notre-dame,2018-11-06-19-notre-dame,Home,NOTRE-DAME,ILLINOIS-CHICAGO
3444,107.7,0.422,0.313,85.9,0.207,39.3,0.456,15.2,0.0,"November 6, 2018",85.9,0.387,0.613,0.947,107.7,0.182,60.7,0.525,16.9,1,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ILLINOIS-CHICAGO,UIC,77.4,NOTRE-DAME,Notre Dame,Notre Dame,acc,2018-11-06-19-notre-dame,2018-11-06-19-notre-dame,Home,NOTRE-DAME,ILLINOIS-CHICAGO
3446,122.2,0.605,0.193,108.3,0.419,40.7,0.627,17.4,0.0,"November 9, 2018",108.3,0.574,0.41,0.72,122.2,0.5710000000000001,59.3,0.604,10.0,2,"Donald N. Dedmon Center, Radford, Virginia",ILLINOIS-CHICAGO,UIC,72.1,RADFORD,Radford,Illinois-Chicago,horizon,2018-11-09-21-radford,2018-11-09-21-radford,Home,RADFORD,ILLINOIS-CHICAGO
3448,122.2,0.605,0.193,108.3,0.419,40.7,0.627,17.4,0.0,"November 9, 2018",108.3,0.574,0.41,0.72,122.2,0.5710000000000001,59.3,0.604,10.0,2,"Donald N. Dedmon Center, Radford, Virginia",ILLINOIS-CHICAGO,UIC,72.1,RADFORD,Radford,Radford,big-south,2018-11-09-21-radford,2018-11-09-21-radford,Home,RADFORD,ILLINOIS-CHICAGO
3450,111.3,0.633,0.3,110.0,0.5379999999999999,42.6,0.642,22.7,0.0,"November 12, 2018",110.0,0.5,0.324,0.625,111.3,0.333,57.4,0.521,12.4,2,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",ILLINOIS-CHICAGO,UIC,71.5,DUQUESNE,Duquesne,Illinois-Chicago,horizon,2018-11-12-20-duquesne,2018-11-12-20-duquesne,Home,DUQUESNE,ILLINOIS-CHICAGO
3452,111.3,0.633,0.3,110.0,0.5379999999999999,42.6,0.642,22.7,0.0,"November 12, 2018",110.0,0.5,0.324,0.625,111.3,0.333,57.4,0.521,12.4,2,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",ILLINOIS-CHICAGO,UIC,71.5,DUQUESNE,Duquesne,Duquesne,atlantic-10,2018-11-12-20-duquesne,2018-11-12-20-duquesne,Home,DUQUESNE,ILLINOIS-CHICAGO
3454,122.0,0.5870000000000001,0.261,115.9,0.441,52.5,0.613,16.3,0.333,"November 15, 2018",115.9,0.664,0.281,0.833,122.0,0.448,47.5,0.6890000000000001,14.3,1,"UIC Pavilion, Chicago, Illinois",WILLIAM-MARY,William & Mary,72.5,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-11-15-20-illinois-chicago,2018-11-15-20-illinois-chicago,Home,ILLINOIS-CHICAGO,WILLIAM-MARY
3456,122.0,0.5870000000000001,0.261,115.9,0.441,52.5,0.613,16.3,0.333,"November 15, 2018",115.9,0.664,0.281,0.833,122.0,0.448,47.5,0.6890000000000001,14.3,1,"UIC Pavilion, Chicago, Illinois",WILLIAM-MARY,William & Mary,72.5,ILLINOIS-CHICAGO,UIC,William & Mary,colonial,2018-11-15-20-illinois-chicago,2018-11-15-20-illinois-chicago,Home,ILLINOIS-CHICAGO,WILLIAM-MARY
3458,101.4,0.491,0.393,100.0,0.368,47.4,0.527,14.3,0.75,"November 17, 2018",100.0,0.5479999999999999,0.423,0.636,101.4,0.375,52.6,0.568,19.6,2,"UIC Pavilion, Chicago, Illinois",BRADLEY,Bradley,70.5,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-11-17-20-illinois-chicago,2018-11-17-20-illinois-chicago,Home,ILLINOIS-CHICAGO,BRADLEY
3460,101.4,0.491,0.393,100.0,0.368,47.4,0.527,14.3,0.75,"November 17, 2018",100.0,0.5479999999999999,0.423,0.636,101.4,0.375,52.6,0.568,19.6,2,"UIC Pavilion, Chicago, Illinois",BRADLEY,Bradley,70.5,ILLINOIS-CHICAGO,UIC,Bradley,mvc,2018-11-17-20-illinois-chicago,2018-11-17-20-illinois-chicago,Home,ILLINOIS-CHICAGO,BRADLEY
3462,130.6,0.519,0.5,102.8,0.444,43.1,0.575,18.1,0.0,"November 24, 2018",102.8,0.6920000000000001,0.333,0.55,130.6,0.524,56.9,0.6759999999999999,11.6,3,"UIC Pavilion, Chicago, Illinois","Wisconsin-Parkside
			","Wisconsin-Parkside
			",72.4,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-11-24-16-illinois-chicago,2018-11-24-16-illinois-chicago,Home,ILLINOIS-CHICAGO,"Wisconsin-Parkside
			"
3463,114.1,0.477,0.242,96.2,0.314,46.6,0.51,14.1,0.429,"November 28, 2018",96.2,0.442,0.6829999999999999,0.878,114.1,0.292,53.4,0.56,8.2,4,"Hagan Arena, Philadelphia, Pennsylvania",ILLINOIS-CHICAGO,UIC,78.0,SAINT-JOSEPHS,St. Joseph's,Illinois-Chicago,horizon,2018-11-28-19-saint-josephs,2018-11-28-19-saint-josephs,Home,SAINT-JOSEPHS,ILLINOIS-CHICAGO
3465,114.1,0.477,0.242,96.2,0.314,46.6,0.51,14.1,0.429,"November 28, 2018",96.2,0.442,0.6829999999999999,0.878,114.1,0.292,53.4,0.56,8.2,4,"Hagan Arena, Philadelphia, Pennsylvania",ILLINOIS-CHICAGO,UIC,78.0,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,2018-11-28-19-saint-josephs,2018-11-28-19-saint-josephs,Home,SAINT-JOSEPHS,ILLINOIS-CHICAGO
3467,92.8,0.618,0.333,105.8,0.385,42.6,0.618,13.3,0.625,"December 1, 2018",105.8,0.44,0.119,0.625,92.8,0.217,57.4,0.452,15.6,3,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.4,LOYOLA-IL,Loyola (IL),Illinois-Chicago,horizon,2018-12-01-16-illinois-chicago,2018-12-01-16-illinois-chicago,Away,LOYOLA-IL,ILLINOIS-CHICAGO
3469,92.8,0.618,0.333,105.8,0.385,42.6,0.618,13.3,0.625,"December 1, 2018",105.8,0.44,0.119,0.625,92.8,0.217,57.4,0.452,15.6,3,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.4,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,2018-12-01-16-illinois-chicago,2018-12-01-16-illinois-chicago,Away,LOYOLA-IL,ILLINOIS-CHICAGO
3471,122.1,0.483,0.39,97.4,0.304,44.8,0.536,18.8,0.6,"December 5, 2018",97.4,0.648,0.361,0.682,122.1,0.423,55.2,0.6579999999999999,14.5,4,"UIC Pavilion, Chicago, Illinois",ILLINOIS-STATE,Illinois State,76.7,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-12-05-19-illinois-chicago,2018-12-05-19-illinois-chicago,Home,ILLINOIS-CHICAGO,ILLINOIS-STATE
3473,122.1,0.483,0.39,97.4,0.304,44.8,0.536,18.8,0.6,"December 5, 2018",97.4,0.648,0.361,0.682,122.1,0.423,55.2,0.6579999999999999,14.5,4,"UIC Pavilion, Chicago, Illinois",ILLINOIS-STATE,Illinois State,76.7,ILLINOIS-CHICAGO,UIC,Illinois State,mvc,2018-12-05-19-illinois-chicago,2018-12-05-19-illinois-chicago,Home,ILLINOIS-CHICAGO,ILLINOIS-STATE
3475,105.0,0.623,0.189,90.0,0.375,42.1,0.623,29.5,0.4,"December 8, 2018",90.0,0.4920000000000001,0.55,0.758,105.0,0.263,57.9,0.555,17.7,7,"Coors Events/Conference Center, Boulder, Colorado",ILLINOIS-CHICAGO,UIC,79.7,COLORADO,Colorado,Illinois-Chicago,horizon,2018-12-08-18-colorado,2018-12-08-18-colorado,Home,COLORADO,ILLINOIS-CHICAGO
3477,105.0,0.623,0.189,90.0,0.375,42.1,0.623,29.5,0.4,"December 8, 2018",90.0,0.4920000000000001,0.55,0.758,105.0,0.263,57.9,0.555,17.7,7,"Coors Events/Conference Center, Boulder, Colorado",ILLINOIS-CHICAGO,UIC,79.7,COLORADO,Colorado,Colorado,pac-12,2018-12-08-18-colorado,2018-12-08-18-colorado,Home,COLORADO,ILLINOIS-CHICAGO
3479,112.5,0.526,0.224,87.5,0.355,40.3,0.545,23.9,0.364,"December 14, 2018",87.5,0.623,0.393,0.583,112.5,0.462,59.7,0.622,17.3,7,"Wintrust Arena, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,79.8,DEPAUL,DePaul,Illinois-Chicago,horizon,2018-12-14-19-depaul,2018-12-14-19-depaul,Home,DEPAUL,ILLINOIS-CHICAGO
3481,112.5,0.526,0.224,87.5,0.355,40.3,0.545,23.9,0.364,"December 14, 2018",87.5,0.623,0.393,0.583,112.5,0.462,59.7,0.622,17.3,7,"Wintrust Arena, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,79.8,DEPAUL,DePaul,DePaul,big-east,2018-12-14-19-depaul,2018-12-14-19-depaul,Home,DEPAUL,ILLINOIS-CHICAGO
3483,90.0,0.44,0.38,81.4,0.118,41.1,0.483,21.5,0.417,"December 17, 2018",81.4,0.464,0.29100000000000004,0.75,90.0,0.233,58.9,0.503,22.5,5,"UIC Pavilion, Chicago, Illinois",INCARNATE-WORD,Incarnate Word,70.3,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-12-17-20-illinois-chicago,2018-12-17-20-illinois-chicago,Home,ILLINOIS-CHICAGO,INCARNATE-WORD
3485,90.0,0.44,0.38,81.4,0.118,41.1,0.483,21.5,0.417,"December 17, 2018",81.4,0.464,0.29100000000000004,0.75,90.0,0.233,58.9,0.503,22.5,5,"UIC Pavilion, Chicago, Illinois",INCARNATE-WORD,Incarnate Word,70.3,ILLINOIS-CHICAGO,UIC,Incarnate Word,southland,2018-12-17-20-illinois-chicago,2018-12-17-20-illinois-chicago,Home,ILLINOIS-CHICAGO,INCARNATE-WORD
3487,110.1,0.455,0.145,79.7,0.333,52.5,0.468,23.5,0.0,"December 21, 2018",79.7,0.605,0.263,0.467,110.1,0.3670000000000001,47.5,0.593,13.6,6,"UIC Pavilion, Chicago, Illinois","St. Francis (IL)
			","St. Francis (IL)
			",69.0,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-12-21-20-illinois-chicago,2018-12-21-20-illinois-chicago,Home,ILLINOIS-CHICAGO,"St. Francis (IL)
			"
3488,93.5,0.568,0.22,97.4,0.433,46.5,0.575,20.8,0.5,"December 28, 2018",97.4,0.391,0.179,0.7859999999999999,93.5,0.275,53.5,0.425,9.7,6,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,68.8,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon,2018-12-28-19-wright-state,2018-12-28-19-wright-state,Away,ILLINOIS-CHICAGO,WRIGHT-STATE
3490,93.5,0.568,0.22,97.4,0.433,46.5,0.575,20.8,0.5,"December 28, 2018",97.4,0.391,0.179,0.7859999999999999,93.5,0.275,53.5,0.425,9.7,6,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,68.8,ILLINOIS-CHICAGO,UIC,Wright State,horizon,2018-12-28-19-wright-state,2018-12-28-19-wright-state,Away,ILLINOIS-CHICAGO,WRIGHT-STATE
3492,104.3,0.413,0.481,82.9,0.2,39.1,0.454,13.7,0.467,"December 30, 2018",82.9,0.542,0.708,0.618,104.3,0.381,60.9,0.569,19.2,12,"Bank of Kentucky Center, Highland Heights, Kentucky",ILLINOIS-CHICAGO,UIC,69.5,NORTHERN-KENTUCKY,Northern Kentucky,Illinois-Chicago,horizon,2018-12-30-18-northern-kentucky,2018-12-30-18-northern-kentucky,Home,NORTHERN-KENTUCKY,ILLINOIS-CHICAGO
3494,104.3,0.413,0.481,82.9,0.2,39.1,0.454,13.7,0.467,"December 30, 2018",82.9,0.542,0.708,0.618,104.3,0.381,60.9,0.569,19.2,12,"Bank of Kentucky Center, Highland Heights, Kentucky",ILLINOIS-CHICAGO,UIC,69.5,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,2018-12-30-18-northern-kentucky,2018-12-30-18-northern-kentucky,Home,NORTHERN-KENTUCKY,ILLINOIS-CHICAGO
3496,91.4,0.462,0.442,94.3,0.615,58.7,0.524,22.5,0.562,"January 4, 2019",94.3,0.491,0.29100000000000004,0.625,91.4,0.375,41.3,0.511,18.4,7,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.8,IUPUI,IUPUI,Illinois-Chicago,horizon,2019-01-04-19-illinois-chicago,2019-01-04-19-illinois-chicago,Away,IUPUI,ILLINOIS-CHICAGO
3498,91.4,0.462,0.442,94.3,0.615,58.7,0.524,22.5,0.562,"January 4, 2019",94.3,0.491,0.29100000000000004,0.625,91.4,0.375,41.3,0.511,18.4,7,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.8,IUPUI,IUPUI,IUPUI,horizon,2019-01-04-19-illinois-chicago,2019-01-04-19-illinois-chicago,Away,IUPUI,ILLINOIS-CHICAGO
