,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2009-12-18-akron,James A. Rhodes Arena,2009-12-18-akron,"Fri, Dec 18, 2009",2009-12-18,9,Home,north-carolina-greensboro,Southern,UNC Greensboro,,0,59,83,Win,3,6,W 2,,Reg
2009-12-20-akron,James A. Rhodes Arena,2009-12-20-akron,"Sun, Dec 20, 2009",2009-12-20,10,Home,saint-francis-pa,NEC,Saint Francis (PA),,0,51,80,Win,3,7,W 3,,Reg
2009-12-22-akron,James A. Rhodes Arena,2009-12-22-akron,"Tue, Dec 22, 2009",2009-12-22,11,Home,illinois-chicago,Horizon,Illinois-Chicago,,0,65,77,Win,3,8,W 4,,Reg
2009-12-27-akron,James A. Rhodes Arena,2009-12-27-akron,"Sun, Dec 27, 2009",2009-12-27,12,Home,valparaiso,Horizon,Valparaiso,,0,57,77,Win,3,9,W 5,,Reg
2009-12-30-wyoming,Arena-Auditorium,2009-12-30-wyoming,"Wed, Dec 30, 2009",2009-12-30,13,Away,wyoming,MWC,Wyoming,,0,76,85,Win,3,10,W 6,,Reg
2010-01-05-akron,James A. Rhodes Arena,2010-01-05-akron,"Tue, Jan 5, 2010",2010-01-05,14,Home,rhode-island,A-10,Rhode Island,,0,68,63,Loss,4,10,L 1,,Reg
2010-01-09-akron,James A. Rhodes Arena,2010-01-09-akron,"Sat, Jan 9, 2010",2010-01-09,15,Home,bowling-green-state,MAC,Bowling Green State,,0,45,71,Win,4,11,W 1,,Reg
2010-01-13-ohio,Convocation Center,2010-01-13-ohio,"Wed, Jan 13, 2010",2010-01-13,16,Away,ohio,MAC,Ohio,,0,62,67,Win,4,12,W 2,,Reg
2010-01-17-buffalo,Alumni Arena,2010-01-17-buffalo,"Sun, Jan 17, 2010",2010-01-17,17,Away,buffalo,MAC,Buffalo,,0,78,65,Loss,5,12,L 1,,Reg
2010-01-20-akron,James A. Rhodes Arena,2010-01-20-akron,"Wed, Jan 20, 2010",2010-01-20,18,Home,miami-oh,MAC,Miami (OH),,0,49,69,Win,5,13,W 1,,Reg
2010-01-23-kent-state,Memorial Athletic & Convocation Center,2010-01-23-kent-state,"Sat, Jan 23, 2010",2010-01-23,19,Away,kent-state,MAC,Kent State,,0,87,70,Loss,6,13,L 1,,Reg
2010-01-27-western-michigan,University Arena,2010-01-27-western-michigan,"Wed, Jan 27, 2010",2010-01-27,20,Away,western-michigan,MAC,Western Michigan,,0,70,79,Win,6,14,W 1,,Reg
2010-01-30-akron,James A. Rhodes Arena,2010-01-30-akron,"Sat, Jan 30, 2010",2010-01-30,21,Home,toledo,MAC,Toledo,,0,45,59,Win,6,15,W 2,,Reg
2010-02-01-akron,James A. Rhodes Arena,2010-02-01-akron,"Mon, Feb 1, 2010",2010-02-01,22,Home,eastern-michigan,MAC,Eastern Michigan,,0,62,59,Loss,7,15,L 1,,Reg
2010-02-03-akron,James A. Rhodes Arena,2010-02-03-akron,"Wed, Feb 3, 2010",2010-02-03,23,Home,northern-illinois,MAC,Northern Illinois,,0,76,90,Win,7,16,W 1,,Reg
2010-02-06-ball-state,Worthen Arena,2010-02-06-ball-state,"Sat, Feb 6, 2010",2010-02-06,24,Away,ball-state,MAC,Ball State,,1,70,75,Win,7,17,W 2,,Reg
2010-02-09-central-michigan,Rose Arena,2010-02-09-central-michigan,"Tue, Feb 9, 2010",2010-02-09,25,Away,central-michigan,MAC,Central Michigan,,0,52,56,Win,7,18,W 3,,Reg
2010-02-14-akron,James A. Rhodes Arena,2010-02-14-akron,"Sun, Feb 14, 2010",2010-02-14,26,Home,ohio,MAC,Ohio,,2,88,91,Win,7,19,W 4,,Reg
2010-02-17-miami-oh,Millett Hall,2010-02-17-miami-oh,"Wed, Feb 17, 2010",2010-02-17,27,Away,miami-oh,MAC,Miami (OH),,0,56,61,Win,7,20,W 5,,Reg
2010-02-20-virginia-commonwealth,Alltel Pavilion at the Stuart C. Siegel Center,2010-02-20-virginia-commonwealth,"Sat, Feb 20, 2010",2010-02-20,28,Away,virginia-commonwealth,CAA,Virginia Commonwealth,,0,70,53,Loss,8,20,L 1,,Reg
2010-02-24-akron,James A. Rhodes Arena,2010-02-24-akron,"Wed, Feb 24, 2010",2010-02-24,29,Home,buffalo,MAC,Buffalo,,0,67,77,Win,8,21,W 1,,Reg
2010-02-27-bowling-green-state,Anderson Arena,2010-02-27-bowling-green-state,"Sat, Feb 27, 2010",2010-02-27,30,Away,bowling-green-state,MAC,Bowling Green State,,0,68,74,Win,8,22,W 2,,Reg
2010-03-05-akron,James A. Rhodes Arena,2010-03-05-akron,"Fri, Mar 5, 2010",2010-03-05,31,Home,kent-state,MAC,Kent State,,0,74,61,Loss,9,22,L 1,,Reg
2010-03-11-eastern-michigan,Quicken Loans Arena,2010-03-11-eastern-michigan,"Thu, Mar 11, 2010",2010-03-11,32,Neutral,eastern-michigan,MAC,Eastern Michigan,,2,89,97,Win,9,23,W 1,,Conf-Tourney
2010-03-12-western-michigan,Quicken Loans Arena,2010-03-12-western-michigan,"Fri, Mar 12, 2010",2010-03-12,33,Neutral,western-michigan,MAC,Western Michigan,,0,64,66,Win,9,24,W 2,,Conf-Tourney
2010-03-13-akron,Quicken Loans Arena,2010-03-13-akron,"Sat, Mar 13, 2010",2010-03-13,34,Neutral,ohio,MAC,Ohio,,1,81,75,Loss,10,24,L 1,,Conf-Tourney
2010-03-17-akron,James A. Rhodes Arena,2010-03-17-akron,"Wed, Mar 17, 2010",2010-03-17,35,Home,green-bay,Horizon,Green Bay,,0,70,66,Loss,11,24,L 2,,CBI
2009-11-13-south-carolina,The Colonial Life Arena,2009-11-13-south-carolina,"Fri, Nov 13, 2009",2009-11-13,1,Away,south-carolina,SEC,South Carolina,,0,88,50,Loss,1,0,L 1,,Reg
