awayindex,date,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,winner,home_team,away_team,home_team_name,away_team_name,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,uid
2019-03-02-16-south-dakotaNorth Dakota,"March 2, 2019",13.4,13,"Sanford Coyote Sports Center, Vermillon, South Dakota",NORTH-DAKOTA,North Dakota,71.3,SOUTH-DAKOTA,South Dakota,North Dakota,summit,2019-03-02-16-south-dakota,Home,SOUTH-DAKOTA,NORTH-DAKOTA,South Dakota,North Dakota,0.5348062953995157,0.490481522956327,0.5087349397590362,0.42857142857142855,896
2019-01-19-15-north-dakota-stateNorth Dakota,"January 19, 2019",16.1,9,"Scheels Center, Fargo, North Dakota",NORTH-DAKOTA,North Dakota,64.6,NORTH-DAKOTA-STATE,North Dakota State,North Dakota,summit,2019-01-19-15-north-dakota-state,Home,NORTH-DAKOTA-STATE,NORTH-DAKOTA,North Dakota State,North Dakota,0.5434587813620072,0.4934426229508197,0.5,0.42105263157894735,897
2019-02-06-20-north-dakotaNorth Dakota,"February 6, 2019",10.2,9,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",NORTH-DAKOTA,North Dakota,71.6,NORTH-DAKOTA-STATE,North Dakota State,North Dakota,summit,2019-02-06-20-north-dakota,Away,NORTH-DAKOTA-STATE,NORTH-DAKOTA,North Dakota State,North Dakota,0.5345982142857143,0.4939024390243902,0.5021849963583394,0.39130434782608703,898
2019-01-03-20-oral-robertsNorth Dakota,"January 3, 2019",15.5,6,"Mabee Center, Tulsa, Oklahoma",NORTH-DAKOTA,North Dakota,69.5,ORAL-ROBERTS,Oral Roberts,North Dakota,summit,2019-01-03-20-oral-roberts,Home,ORAL-ROBERTS,NORTH-DAKOTA,Oral Roberts,North Dakota,0.5330073349633252,0.5005488474204172,0.4857988165680474,0.42857142857142855,899
2018-12-08-20-northern-arizonaNorthern Arizona,"December 8, 2018",13.1,2,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,72.6,UTAH-VALLEY,Utah Valley,Northern Arizona,big-sky,2018-12-08-20-northern-arizona,Away,UTAH-VALLEY,NORTHERN-ARIZONA,Utah Valley,Northern Arizona,0.5014164305949008,0.4623655913978494,0.5664819944598338,0.3333333333333333,900
2018-12-29-16-northern-arizonaNorthern Arizona,"December 29, 2018",15.6,2,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,71.0,MONTANA,Montana,Northern Arizona,big-sky,2018-12-29-16-northern-arizona,Away,MONTANA,NORTHERN-ARIZONA,Montana,Northern Arizona,0.5008680555555556,0.4493670886075949,0.5638655462184874,0.2,901
2019-03-04-21-montanaNorthern Arizona,"March 4, 2019",17.8,22,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTHERN-ARIZONA,Northern Arizona,64.8,MONTANA,Montana,Northern Arizona,big-sky,2019-03-04-21-montana,Home,MONTANA,NORTHERN-ARIZONA,Montana,Northern Arizona,0.502127659574468,0.4723287671232877,0.5465949820788529,0.32142857142857145,902
2018-12-21-21-utahNorthern Arizona,"December 21, 2018",9.7,6,"Jon M. Huntsman Center, Salt Lake City, Utah",NORTHERN-ARIZONA,Northern Arizona,65.1,UTAH,Utah,Northern Arizona,big-sky,2018-12-21-21-utah,Home,UTAH,NORTHERN-ARIZONA,Utah,Northern Arizona,0.5048169556840078,0.4477876106194689,0.5652985074626866,0.2222222222222222,903
2018-12-19-22-san-franciscoNorthern Arizona,"December 19, 2018",5.2,11,"War Memorial Gymnasium, San Francisco, California",NORTHERN-ARIZONA,Northern Arizona,65.0,SAN-FRANCISCO,San Francisco,Northern Arizona,big-sky,2018-12-19-22-san-francisco,Home,SAN-FRANCISCO,NORTHERN-ARIZONA,San Francisco,Northern Arizona,0.5053418803418803,0.4462474645030426,0.5748945147679325,0.25,904
2018-11-18-22-hawaiiNorthern Arizona,"November 18, 2018",15.5,3,"Stan Sheriff Center, Honolulu, Hawaii",NORTHERN-ARIZONA,Northern Arizona,71.2,HAWAII,Hawaii,Northern Arizona,big-west,2018-11-18-22-hawaii,Home,HAWAII,NORTHERN-ARIZONA,Hawaii,Northern Arizona,0.5078125,0.5,0.554945054945055,0.6666666666666666,905
2019-02-07-20-northern-arizonaNorthern Arizona,"February 7, 2019",12.4,7,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,63.6,IDAHO-STATE,Idaho State,Northern Arizona,big-sky,2019-02-07-20-northern-arizona,Away,IDAHO-STATE,NORTHERN-ARIZONA,Idaho State,Northern Arizona,0.49674267100977204,0.4649819494584838,0.5388888888888889,0.3333333333333333,906
2019-02-04-21-eastern-washingtonNorthern Arizona,"February 4, 2019",17.3,8,"Reese Court, Cheney, Washington",NORTHERN-ARIZONA,Northern Arizona,73.4,EASTERN-WASHINGTON,Eastern Washington,Northern Arizona,big-sky,2019-02-04-21-eastern-washington,Home,EASTERN-WASHINGTON,NORTHERN-ARIZONA,Eastern Washington,Northern Arizona,0.4995722840034218,0.4665144596651446,0.5371142618849041,0.35,907
2019-02-23-16-northern-arizonaNorthern Arizona,"February 23, 2019",9.3,9,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,75.9,EASTERN-WASHINGTON,Eastern Washington,Northern Arizona,big-sky,2019-02-23-16-northern-arizona,Away,EASTERN-WASHINGTON,NORTHERN-ARIZONA,Eastern Washington,Northern Arizona,0.5082399472643375,0.4719235364396655,0.5461290322580645,0.3461538461538461,908
2019-01-03-21-weber-stateNorthern Arizona,"January 3, 2019",12.3,9,"Dee Events Center, Ogden, Utah",NORTHERN-ARIZONA,Northern Arizona,75.3,WEBER-STATE,Weber State,Northern Arizona,big-sky,2019-01-03-21-weber-state,Home,WEBER-STATE,NORTHERN-ARIZONA,Weber State,Northern Arizona,0.4971305595408895,0.4620418848167539,0.5618846694796061,0.25,909
2019-02-09-16-northern-arizonaNorthern Arizona,"February 9, 2019",11.0,7,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,75.1,WEBER-STATE,Weber State,Northern Arizona,big-sky,2019-02-09-16-northern-arizona,Away,WEBER-STATE,NORTHERN-ARIZONA,Weber State,Northern Arizona,0.49960998439937604,0.4694019471488178,0.5444191343963554,0.3181818181818182,910
2019-01-26-20-northern-arizonaNorthern Arizona,"January 26, 2019",13.5,5,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,61.0,NORTHERN-COLORADO,Northern Colorado,Northern Arizona,big-sky,2019-01-26-20-northern-arizona,Away,NORTHERN-COLORADO,NORTHERN-ARIZONA,Northern Colorado,Northern Arizona,0.5051334702258727,0.4589416058394161,0.5432220039292731,0.29411764705882354,911
2019-03-02-16-montana-stateNorthern Arizona,"March 2, 2019",18.5,13,"Max Worthington Arena, Bozeman, Montana",NORTHERN-ARIZONA,Northern Arizona,79.2,MONTANA-STATE,Montana State,Northern Arizona,big-sky,2019-03-02-16-montana-state,Home,MONTANA-STATE,NORTHERN-ARIZONA,Montana State,Northern Arizona,0.5022151898734177,0.4723646723646724,0.5456521739130434,0.3333333333333333,912
2019-01-17-20-northern-arizonaNorthern Arizona,"January 17, 2019",7.3,4,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,63.9,SACRAMENTO-STATE,Sacramento State,Northern Arizona,big-sky,2019-01-17-20-northern-arizona,Away,SACRAMENTO-STATE,NORTHERN-ARIZONA,Sacramento State,Northern Arizona,0.5028935185185185,0.4624217118997913,0.5539488320355951,0.26666666666666666,913
2019-03-13-11-northern-arizonaNorthern Arizona,"March 13, 2019",23.5,10,"CenturyLink Arena, Boise, Idaho",NORTHERN-ARIZONA,Northern Arizona,66.2,SACRAMENTO-STATE,Sacramento State,Northern Arizona,big-sky,2019-03-13-11-northern-arizona,Away,SACRAMENTO-STATE,NORTHERN-ARIZONA,Sacramento State,Northern Arizona,0.5039637599093998,0.4709809964047253,0.5467525195968646,0.3333333333333333,914
2019-01-12-16-southern-utahNorthern Arizona,"January 12, 2019",11.7,7,"Centrum, Cedar City, Utah",NORTHERN-ARIZONA,Northern Arizona,70.1,SOUTHERN-UTAH,Southern Utah,Northern Arizona,big-sky,2019-01-12-16-southern-utah,Home,SOUTHERN-UTAH,NORTHERN-ARIZONA,Southern Utah,Northern Arizona,0.4956413449564134,0.4636871508379888,0.5501193317422435,0.2857142857142857,915
2019-02-14-22-portland-stateNorthern Arizona,"February 14, 2019",13.4,10,"Peter W. Stott Center, Portland, Oregon",NORTHERN-ARIZONA,Northern Arizona,83.8,PORTLAND-STATE,Portland State,Northern Arizona,big-sky,2019-02-14-22-portland-state,Home,PORTLAND-STATE,NORTHERN-ARIZONA,Portland State,Northern Arizona,0.4973997028231798,0.4703925482368596,0.5475326560232221,0.3043478260869565,916
2018-12-01-19-santa-claraNorthern Arizona,"December 1, 2018",17.9,3,"Leavey Center, Santa Clara, California",NORTHERN-ARIZONA,Northern Arizona,71.6,SANTA-CLARA,Santa Clara,Northern Arizona,big-sky,2018-12-01-19-santa-clara,Home,SANTA-CLARA,NORTHERN-ARIZONA,Santa Clara,Northern Arizona,0.4982817869415808,0.4738562091503268,0.5728476821192053,0.4,917
2018-11-12-20-south-dakotaNorthern Arizona,"November 12, 2018",14.1,2,"Sanford Coyote Sports Center, Vermillon, South Dakota",NORTHERN-ARIZONA,Northern Arizona,75.6,SOUTH-DAKOTA,South Dakota,Northern Arizona,big-sky,2018-11-12-20-south-dakota,Home,SOUTH-DAKOTA,NORTHERN-ARIZONA,South Dakota,Northern Arizona,0.5540540540540541,0.5362318840579711,0.5819672131147541,1.0,918
2018-11-29-22-california-davisNorthern Arizona,"November 29, 2018",13.1,2,"The Pavilion, Davis, California",NORTHERN-ARIZONA,Northern Arizona,69.0,CALIFORNIA-DAVIS,UC-Davis,Northern Arizona,big-sky,2018-11-29-22-california-davis,Home,CALIFORNIA-DAVIS,NORTHERN-ARIZONA,UC Davis,Northern Arizona,0.4958333333333334,0.4672131147540984,0.5767634854771784,0.5,919
2018-12-15-22-san-jose-stateNorthern Arizona,"December 15, 2018",18.9,3,"San Jose State Event Center, San Jose, California",NORTHERN-ARIZONA,Northern Arizona,74.5,SAN-JOSE-STATE,San Jose State,Northern Arizona,big-sky,2018-12-15-22-san-jose-state,Home,SAN-JOSE-STATE,NORTHERN-ARIZONA,San Jose State,Northern Arizona,0.5085365853658537,0.4577464788732394,0.5876777251184834,0.2857142857142857,920
2019-01-12-21-utah-valleySeattle,"January 12, 2019",17.7,12,"UCCU Center, Orem, Utah",SEATTLE,Seattle,73.8,UTAH-VALLEY,Utah Valley,Seattle,wac,2019-01-12-21-utah-valley,Home,UTAH-VALLEY,SEATTLE,Utah Valley,Seattle,0.5319567354965585,0.5296684118673648,0.456930693069307,0.7058823529411765,921
2019-02-26-22-seattleSeattle,"February 26, 2019",11.2,15,"KeyArena, Seattle, Washington",SEATTLE,Seattle,69.5,UTAH-VALLEY,Utah Valley,Seattle,wac,2019-02-26-22-seattle,Away,UTAH-VALLEY,SEATTLE,Utah Valley,Seattle,0.5086206896551724,0.5291153415453528,0.4612152553329024,0.5555555555555556,922
2019-03-20-22-seattleSeattle,"March 20, 2019",14.9,18,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,65.6,PRESBYTERIAN,Presbyterian,Seattle,big-south,2019-03-20-22-seattle,Away,PRESBYTERIAN,SEATTLE,Presbyterian,Seattle,0.5002652519893899,0.5193653756416239,0.4609120521172638,0.5625,923
2019-01-19-22-seattleSeattle,"January 19, 2019",18.2,12,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,67.9,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Seattle,wac,2019-01-19-22-seattle,Away,TEXAS-PAN-AMERICAN,SEATTLE,Texas-Rio Grande Valley,Seattle,0.5228671943711521,0.5236220472440944,0.4703770197486535,0.631578947368421,924
2019-02-14-20-texas-pan-americanSeattle,"February 14, 2019",9.7,15,"UTRGV Fieldhouse, Edinburg, Texas",SEATTLE,Seattle,65.5,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Seattle,wac,2019-02-14-20-texas-pan-american,Home,TEXAS-PAN-AMERICAN,SEATTLE,Texas-Rio Grande Valley,Seattle,0.5173431734317343,0.5295275590551181,0.4683734939759036,0.5652173913043478,925
2019-01-05-20-grand-canyonSeattle,"January 5, 2019",17.9,9,"Grand Canyon University Arena, Phoenix, Arizona",SEATTLE,Seattle,71.6,GRAND-CANYON,Grand Canyon,Seattle,wac,2019-01-05-20-grand-canyon,Home,GRAND-CANYON,SEATTLE,Grand Canyon,Seattle,0.540582726326743,0.5361111111111111,0.4526315789473685,0.75,926
2019-03-14-23-grand-canyonSeattle,"March 14, 2019",9.4,19,"Orleans Arena, Paradise, Nevada",SEATTLE,Seattle,66.8,GRAND-CANYON,Grand Canyon,Seattle,wac,2019-03-14-23-grand-canyon,Home,GRAND-CANYON,SEATTLE,Grand Canyon,Seattle,0.5002742731760834,0.5213634181469035,0.4573752103196859,0.5806451612903226,927
2019-01-17-22-seattleSeattle,"January 17, 2019",13.0,12,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,69.5,NEW-MEXICO-STATE,New Mexico State,Seattle,wac,2019-01-17-22-seattle,Away,NEW-MEXICO-STATE,SEATTLE,New Mexico State,Seattle,0.5278810408921933,0.5290697674418605,0.462594696969697,0.6666666666666666,928
2019-02-16-21-new-mexico-stateSeattle,"February 16, 2019",18.9,22,"Pan American Center, Las Cruces, New Mexico",SEATTLE,Seattle,64.7,NEW-MEXICO-STATE,New Mexico State,Seattle,wac,2019-02-16-21-new-mexico-state,Home,NEW-MEXICO-STATE,SEATTLE,New Mexico State,Seattle,0.5143472022955524,0.5316055625790139,0.4660404624277457,0.5416666666666666,929
2019-01-26-19-missouri-kansas-citySeattle,"January 26, 2019",12.1,8,"Swinney Recreation Center, Kansas City, Missouri",SEATTLE,Seattle,63.3,MISSOURI-KANSAS-CITY,UMKC,Seattle,wac,2019-01-26-19-missouri-kansas-city,Home,MISSOURI-KANSAS-CITY,SEATTLE,Kansas City,Seattle,0.5204,0.5288667141838916,0.4655172413793103,0.6190476190476191,930
2018-11-18-16-seattleSeattle,"November 18, 2018",13.2,3,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,74.3,SOUTHERN-UTAH,Southern Utah,Seattle,wac,2018-11-18-16-seattle,Away,SOUTHERN-UTAH,SEATTLE,Southern Utah,Seattle,0.5404858299595142,0.5217391304347826,0.4240506329113924,0.75,931
2019-01-03-22-cal-state-bakersfieldSeattle,"January 3, 2019",12.7,9,"Icardo Center, Bakersfield, California",SEATTLE,Seattle,70.7,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Seattle,wac,2019-01-03-22-cal-state-bakersfield,Home,CAL-STATE-BAKERSFIELD,SEATTLE,Cal State Bakersfield,Seattle,0.5445054945054945,0.541015625,0.4431946006749156,0.8,932
2018-11-06-22-stanfordSeattle,"November 6, 2018",15.6,1,"Maples Pavilion, Stanford, California",SEATTLE,Seattle,75.3,STANFORD,Stanford,Seattle,wac,2018-11-06-22-stanford,Home,STANFORD,SEATTLE,Stanford,Seattle,,,,,933
2018-12-09-21-washingtonSeattle,"December 9, 2018",20.4,7,"Alaska Airlines Arena, Seattle, Washington",SEATTLE,Seattle,71.1,WASHINGTON,Washington,Seattle,wac,2018-12-09-21-washington,Home,WASHINGTON,SEATTLE,Washington,Seattle,0.5549853372434017,0.5398692810457516,0.4430284857571215,0.8181818181818182,934
2019-02-02-22-seattleSeattle,"February 2, 2019",13.9,13,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,62.9,CALIFORNIA-BAPTIST,California Baptist,Seattle,wac,2019-02-02-22-seattle,Away,CALIFORNIA-BAPTIST,SEATTLE,California Baptist,Seattle,0.5184615384615384,0.5294117647058824,0.4664826498422713,0.5909090909090909,935
2019-01-17-21-utah-valleyTexas-Rio Grande Valley,"January 17, 2019",24.9,13,"UCCU Center, Orem, Utah",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,75.0,UTAH-VALLEY,Utah Valley,Texas-Rio Grande Valley,wac,2019-01-17-21-utah-valley,Home,UTAH-VALLEY,TEXAS-PAN-AMERICAN,Utah Valley,Texas-Rio Grande Valley,0.4310344827586207,0.4485179407176287,0.4909437559580553,0.4736842105263158,936
2019-02-16-20-texas-pan-americanTexas-Rio Grande Valley,"February 16, 2019",16.8,15,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,73.7,UTAH-VALLEY,Utah Valley,Texas-Rio Grande Valley,wac,2019-02-16-20-texas-pan-american,Away,UTAH-VALLEY,TEXAS-PAN-AMERICAN,Utah Valley,Texas-Rio Grande Valley,0.4437738246505718,0.4531688166012338,0.4820317899101589,0.5555555555555556,937
2018-12-15-20-texas-pan-americanTexas-Rio Grande Valley,"December 15, 2018",17.8,7,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.9,TEXAS-STATE,Texas State,Texas-Rio Grande Valley,wac,2018-12-15-20-texas-pan-american,Away,TEXAS-STATE,TEXAS-PAN-AMERICAN,Texas State,Texas-Rio Grande Valley,0.4287878787878788,0.4539559014267186,0.462157809983897,0.6363636363636364,938
2018-11-28-20-houstonTexas-Rio Grande Valley,"November 28, 2018",17.5,5,"Health & Physical Education Arena, Houston, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,64.6,HOUSTON,Houston,Texas-Rio Grande Valley,aac,2018-11-28-20-houston,Home,HOUSTON,TEXAS-PAN-AMERICAN,Houston,Texas-Rio Grande Valley,0.4298969072164949,0.4472271914132379,0.4761904761904762,0.625,939
2018-11-21-19-georgia-techTexas-Rio Grande Valley,"November 21, 2018",14.2,3,"McCamish Pavilion, Atlanta, Georgia",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,72.2,GEORGIA-TECH,Georgia Tech,Texas-Rio Grande Valley,acc,2018-11-21-19-georgia-tech,Home,GEORGIA-TECH,TEXAS-PAN-AMERICAN,Georgia Tech,Texas-Rio Grande Valley,0.4320987654320987,0.4401114206128134,0.4744897959183674,0.6,940
2018-12-28-19-texas-techTexas-Rio Grande Valley,"December 28, 2018",19.2,11,"United Supermarkets Arena, Lubbock, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,65.6,TEXAS-TECH,Texas Tech,Texas-Rio Grande Valley,wac,2018-12-28-19-texas-tech,Home,TEXAS-TECH,TEXAS-PAN-AMERICAN,Texas Tech,Texas-Rio Grande Valley,0.4306872037914692,0.4513089005235602,0.4753566796368353,0.5714285714285714,941
2019-03-25-20-texas-pan-americanTexas-Rio Grande Valley,"March 25, 2019",13.4,20,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,84.7,TEXAS-SOUTHERN,Texas Southern,Texas-Rio Grande Valley,wac,2019-03-25-20-texas-pan-american,Away,TEXAS-SOUTHERN,TEXAS-PAN-AMERICAN,Texas Southern,Texas-Rio Grande Valley,0.4653753026634382,0.4578260869565217,0.498719262295082,0.5555555555555556,942
2019-01-12-20-texas-pan-americanTexas-Rio Grande Valley,"January 12, 2019",15.0,9,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.0,GRAND-CANYON,Grand Canyon,Texas-Rio Grande Valley,wac,2019-01-12-20-texas-pan-american,Away,GRAND-CANYON,TEXAS-PAN-AMERICAN,Grand Canyon,Texas-Rio Grande Valley,0.4309545875810936,0.4500818330605565,0.4894259818731118,0.5,943
2019-01-26-20-texas-pan-americanTexas-Rio Grande Valley,"January 26, 2019",19.7,10,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,68.5,NEW-MEXICO-STATE,New Mexico State,Texas-Rio Grande Valley,wac,2019-01-26-20-texas-pan-american,Away,NEW-MEXICO-STATE,TEXAS-PAN-AMERICAN,New Mexico State,Texas-Rio Grande Valley,0.4322033898305085,0.4506041222459133,0.4943231441048035,0.4761904761904762,944
2019-02-23-18-new-mexico-stateTexas-Rio Grande Valley,"February 23, 2019",18.1,24,"Pan American Center, Las Cruces, New Mexico",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,73.2,NEW-MEXICO-STATE,New Mexico State,Texas-Rio Grande Valley,wac,2019-02-23-18-new-mexico-state,Home,NEW-MEXICO-STATE,TEXAS-PAN-AMERICAN,New Mexico State,Texas-Rio Grande Valley,0.4481635071090048,0.4552631578947369,0.4823830877642537,0.5517241379310345,945
2019-03-15-21-new-mexico-stateTexas-Rio Grande Valley,"March 15, 2019",12.7,29,"Orleans Arena, Paradise, Nevada",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,67.3,NEW-MEXICO-STATE,New Mexico State,Texas-Rio Grande Valley,wac,2019-03-15-21-new-mexico-state,Home,NEW-MEXICO-STATE,TEXAS-PAN-AMERICAN,New Mexico State,Texas-Rio Grande Valley,0.4613415258576549,0.4587699316628702,0.4913185024416712,0.5588235294117647,946
2019-01-03-22-california-irvineTexas-Rio Grande Valley,"January 3, 2019",21.1,12,"Bren Events Center, Irvine, California",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,78.2,CALIFORNIA-IRVINE,UC-Irvine,Texas-Rio Grande Valley,wac,2019-01-03-22-california-irvine,Home,CALIFORNIA-IRVINE,TEXAS-PAN-AMERICAN,UC Irvine,Texas-Rio Grande Valley,0.42777155655095184,0.4478649453823237,0.4817739975698663,0.5333333333333333,947
2018-11-19-19-east-carolinaTexas-Rio Grande Valley,"November 19, 2018",29.2,3,"Williams Arena at Minges Coliseum, Greenville, North Carolina",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,77.5,EAST-CAROLINA,East Carolina,Texas-Rio Grande Valley,wac,2018-11-19-19-east-carolina,Home,EAST-CAROLINA,TEXAS-PAN-AMERICAN,East Carolina,Texas-Rio Grande Valley,0.4609375,0.4532871972318339,0.4616935483870968,0.75,948
2019-01-10-20-texas-pan-americanTexas-Rio Grande Valley,"January 10, 2019",17.8,9,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,77.8,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Texas-Rio Grande Valley,wac,2019-01-10-20-texas-pan-american,Away,CAL-STATE-BAKERSFIELD,TEXAS-PAN-AMERICAN,Cal State Bakersfield,Texas-Rio Grande Valley,0.4309500489715965,0.4511343804537522,0.4914255091103966,0.5294117647058824,949
2018-11-09-20-texas-pan-americanTexas-Rio Grande Valley,"November 9, 2018",16.4,1,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,82.4,OKLAHOMA,Oklahoma,Texas-Rio Grande Valley,big-12,2018-11-09-20-texas-pan-american,Away,OKLAHOMA,TEXAS-PAN-AMERICAN,Oklahoma,Texas-Rio Grande Valley,0.4785714285714286,0.375,0.4621212121212121,1.0,950
2018-12-18-20-texas-pan-americanTexas-Rio Grande Valley,"December 18, 2018",13.7,7,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.9,RICE,Rice,Texas-Rio Grande Valley,cusa,2018-12-18-20-texas-pan-american,Away,RICE,TEXAS-PAN-AMERICAN,Rice,Texas-Rio Grande Valley,0.4299583911234397,0.4526699029126214,0.4759398496240602,0.5833333333333334,951
2019-03-07-20-texas-pan-americanTexas-Rio Grande Valley,"March 7, 2019",14.7,18,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,68.2,CALIFORNIA-BAPTIST,California Baptist,Texas-Rio Grande Valley,wac,2019-03-07-20-texas-pan-american,Away,CALIFORNIA-BAPTIST,TEXAS-PAN-AMERICAN,California Baptist,Texas-Rio Grande Valley,0.4580627705627706,0.4578488372093023,0.4927198602213162,0.5625,952
2018-12-01-21-utah-valleyDenver,"December 1, 2018",12.0,6,"UCCU Center, Orem, Utah",DENVER,Denver,76.6,UTAH-VALLEY,Utah Valley,Denver,wac,2018-12-01-21-utah-valley,Home,UTAH-VALLEY,DENVER,Utah Valley,Denver,0.5222513089005235,0.5,0.5330882352941176,0.2857142857142857,953
2018-12-05-21-air-forceDenver,"December 5, 2018",16.8,4,"Clune Arena , Colorado Springs, Colorado",DENVER,Denver,67.6,AIR-FORCE,Air Force,Denver,mwc,2018-12-05-21-air-force,Home,AIR-FORCE,DENVER,Air Force,Denver,0.5203619909502263,0.4930417495029821,0.5472103004291845,0.25,954
2018-11-12-21-kansas-stateDenver,"November 12, 2018",11.1,2,"Bramlage Coliseum, Manhattan, Kansas",DENVER,Denver,71.7,KANSAS-STATE,Kansas State,Denver,big-12,2018-11-12-21-kansas-state,Home,KANSAS-STATE,DENVER,Kansas State,Denver,0.5188679245283019,0.4861111111111111,0.3793103448275862,1.0,955
2018-12-21-21-gonzagaDenver,"December 21, 2018",16.9,11,"McCarthey Athletic Center, Spokane, Washington",DENVER,Denver,72.7,GONZAGA,Gonzaga,Denver,wcc,2018-12-21-21-gonzaga,Home,GONZAGA,DENVER,Gonzaga,Denver,0.5195681511470985,0.5162064825930373,0.5405759162303665,0.38461538461538464,956
2019-01-10-20-south-dakota-stateDenver,"January 10, 2019",20.3,13,"Frost Arena, Brookings, South Dakota",DENVER,Denver,69.9,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit,2019-01-10-20-south-dakota-state,Home,SOUTH-DAKOTA-STATE,DENVER,South Dakota State,Denver,0.5009708737864078,0.510936132983377,0.5637996219281664,0.2777777777777778,957
2019-02-03-15-denverDenver,"February 3, 2019",13.5,7,"Magness Arena, Denver, Colorado",DENVER,Denver,72.3,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit,2019-02-03-15-denver,Away,SOUTH-DAKOTA-STATE,DENVER,South Dakota State,Denver,0.5135566188197768,0.5158730158730159,0.5581123244929798,0.3181818181818182,958
2018-11-23-15-seattleDenver,"November 23, 2018",9.0,4,"Connolly Center, Seattle, Washington",DENVER,Denver,70.9,SEATTLE,Seattle,Denver,wac,2018-11-23-15-seattle,Home,SEATTLE,DENVER,Seattle,Denver,0.5096153846153846,0.4950495049504951,0.4491017964071856,0.3333333333333333,959
2018-12-15-22-california-irvineDenver,"December 15, 2018",12.6,10,"Bren Events Center, Irvine, California",DENVER,Denver,69.7,CALIFORNIA-IRVINE,UC-Irvine,Denver,big-west,2018-12-15-22-california-irvine,Home,CALIFORNIA-IRVINE,DENVER,UC Irvine,Denver,0.5268562401263823,0.5184659090909091,0.5459501557632399,0.3636363636363637,960
2018-11-15-21-denverDenver,"November 15, 2018",21.2,1,"Magness Arena, Denver, Colorado",DENVER,Denver,61.4,ABILENE-CHRISTIAN,Abilene Christian,Denver,southland,2018-11-15-21-denver,Away,ABILENE-CHRISTIAN,DENVER,Abilene Christian,Denver,0.4761904761904762,0.4758620689655173,0.4067796610169492,0.5,961
2018-11-28-21-denverDenver,"November 28, 2018",18.0,2,"Magness Arena, Denver, Colorado",DENVER,Denver,73.8,NORTHERN-COLORADO,Northern Colorado,Denver,big-sky,2018-11-28-21-denver,Away,NORTHERN-COLORADO,DENVER,Northern Colorado,Denver,0.5237341772151899,0.5065274151436031,0.5174418604651163,0.3333333333333333,962
