awayindex,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
2020-01-29-20-new-orleansNew Orleans,2020-01-29-20-new-orleans,"January 29, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,NORTHWESTERN-STATE,Northwestern State,New Orleans,NORTHWESTERN-STATE,NEW-ORLEANS,Northwestern State,New Orleans,2020-01-29-20-new-orleansNorthwestern State,2020-01-29-20-new-orleansNew Orleans,,,,,0.507679180887372,0.4776748104465038,0.5435943060498221,0.3
2020-03-04-19-northwestern-stateNew Orleans,2020-03-04-19-northwestern-state,"March 4, 2020","Prather Coliseum, Natchitoches, Louisiana",NEW-ORLEANS,New Orleans,Home,NORTHWESTERN-STATE,Northwestern State,New Orleans,NORTHWESTERN-STATE,NEW-ORLEANS,Northwestern State,New Orleans,2020-03-04-19-northwestern-stateNorthwestern State,2020-03-04-19-northwestern-stateNew Orleans,,,,,0.5083539603960396,0.4733333333333333,0.5511760966306422,0.2857142857142857
2019-12-03-21-louisiana-stateNew Orleans,2019-12-03-21-louisiana-state,"December 3, 2019","Maravich Assembly Center, Baton Rouge, Louisiana",NEW-ORLEANS,New Orleans,Home,LOUISIANA-STATE,LSU,New Orleans,LOUISIANA-STATE,NEW-ORLEANS,Louisiana State,New Orleans,2019-12-03-21-louisiana-stateLouisiana State,2019-12-03-21-louisiana-stateNew Orleans,,,,,0.5178970917225951,0.4888392857142857,0.4987179487179487,0.42857142857142855
2019-11-17-15-mississippi-stateNew Orleans,2019-11-17-15-mississippi-state,"November 17, 2019","Humphrey Coliseum, Starkville, Mississippi",NEW-ORLEANS,New Orleans,Home,MISSISSIPPI-STATE,Mississippi State,New Orleans,MISSISSIPPI-STATE,NEW-ORLEANS,Mississippi State,New Orleans,2019-11-17-15-mississippi-stateMississippi State,2019-11-17-15-mississippi-stateNew Orleans,,,,,0.5112994350282486,0.46,0.489010989010989,0.3333333333333333
2019-12-28-13-memphisNew Orleans,2019-12-28-13-memphis,"December 28, 2019","FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,Home,MEMPHIS,Memphis,New Orleans,MEMPHIS,NEW-ORLEANS,Memphis,New Orleans,2019-12-28-13-memphisMemphis,2019-12-28-13-memphisNew Orleans,,,,,0.5199115044247787,0.492603550295858,0.5211038961038961,0.3636363636363637
2019-11-09-19-butlerNew Orleans,2019-11-09-19-butler,"November 9, 2019","Hinkle Fieldhouse, Indianapolis, Indiana",NEW-ORLEANS,New Orleans,Home,BUTLER,Butler,New Orleans,BUTLER,NEW-ORLEANS,Butler,New Orleans,2019-11-09-19-butlerButler,2019-11-09-19-butlerNew Orleans,,,,,0.6615384615384615,0.5303030303030303,0.3888888888888889,1.0
2019-11-24-22-hawaiiNew Orleans,2019-11-24-22-hawaii,"November 24, 2019","Stan Sheriff Center, Honolulu, Hawaii",NEW-ORLEANS,New Orleans,Home,HAWAII,Hawaii,New Orleans,HAWAII,NEW-ORLEANS,Hawaii,New Orleans,2019-11-24-22-hawaiiHawaii,2019-11-24-22-hawaiiNew Orleans,,,,,0.4829787234042553,0.4407407407407408,0.5041152263374485,0.25
2020-02-12-20-central-arkansasNew Orleans,2020-02-12-20-central-arkansas,"February 12, 2020","Jeff Farris Center, Conway, Arkansas",NEW-ORLEANS,New Orleans,Home,CENTRAL-ARKANSAS,Central Arkansas,New Orleans,CENTRAL-ARKANSAS,NEW-ORLEANS,Central Arkansas,New Orleans,2020-02-12-20-central-arkansasCentral Arkansas,2020-02-12-20-central-arkansasNew Orleans,,,,,0.5089887640449439,0.4798534798534799,0.5410276073619632,0.3043478260869565
2020-01-25-19-new-orleansNew Orleans,2020-01-25-19-new-orleans,"January 25, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,NICHOLLS-STATE,Nicholls State,New Orleans,NICHOLLS-STATE,NEW-ORLEANS,Nicholls State,New Orleans,2020-01-25-19-new-orleansNicholls State,2020-01-25-19-new-orleansNew Orleans,,,,,0.5076233183856502,0.4815465729349737,0.539756782039289,0.3157894736842105
2020-02-29-16-nicholls-stateNew Orleans,2020-02-29-16-nicholls-state,"February 29, 2020","David Stopher Gymnasium, Thibodaux, Louisiana",NEW-ORLEANS,New Orleans,Home,NICHOLLS-STATE,Nicholls State,New Orleans,NICHOLLS-STATE,NEW-ORLEANS,Nicholls State,New Orleans,2020-02-29-16-nicholls-stateNicholls State,2020-02-29-16-nicholls-stateNew Orleans,,,,,0.5096030729833547,0.477602523659306,0.5506329113924051,0.2962962962962963
2020-01-02-20-new-orleansNew Orleans,2020-01-02-20-new-orleans,"January 2, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,LAMAR,Lamar,New Orleans,LAMAR,NEW-ORLEANS,Lamar,New Orleans,2020-01-02-20-new-orleansLamar,2020-01-02-20-new-orleansNew Orleans,,,,,0.504774897680764,0.4825268817204301,0.5301914580265096,0.3333333333333333
2020-01-11-17-incarnate-wordNew Orleans,2020-01-11-17-incarnate-word,"January 11, 2020","McDermott Center, San Antonio, Texas",NEW-ORLEANS,New Orleans,Home,INCARNATE-WORD,Incarnate Word,New Orleans,INCARNATE-WORD,NEW-ORLEANS,Incarnate Word,New Orleans,2020-01-11-17-incarnate-wordIncarnate Word,2020-01-11-17-incarnate-wordNew Orleans,,,,,0.5079275198187996,0.4769736842105263,0.534037558685446,0.3333333333333333
2020-02-15-19-new-orleansNew Orleans,2020-02-15-19-new-orleans,"February 15, 2020","Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,Away,INCARNATE-WORD,Incarnate Word,New Orleans,INCARNATE-WORD,NEW-ORLEANS,Incarnate Word,New Orleans,2020-02-15-19-new-orleansIncarnate Word,2020-02-15-19-new-orleansNew Orleans,,,,,0.507548526240115,0.4800280308339173,0.5397936624907885,0.2916666666666667
2020-01-22-20-texas-am-corpus-christiNew Orleans,2020-01-22-20-texas-am-corpus-christi,"January 22, 2020","American Bank Center, Corpus Christi, Texas",NEW-ORLEANS,New Orleans,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,New Orleans,TEXAS-AM-CORPUS-CHRISTI,NEW-ORLEANS,Texas A&M-Corpus Christi,New Orleans,2020-01-22-20-texas-am-corpus-christiTexas A&M-Corpus Christi,2020-01-22-20-texas-am-corpus-christiNew Orleans,,,,,0.5060975609756098,0.4794520547945205,0.5352250489236791,0.3333333333333333
